sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local
906,2,Attribute,,Supplier,TIN,0..1,Char,TAX IDENTIFICATION NUMBER,,The tax identification number assigned to the supplier by tax authorities.,Base,18,BS16_05,,
907,2,Attribute,,Supplier,Group,0..1,Char,Char Long,,The classification of the supplier within an organization's segmentation system.,Base,18,BS16_06,,
908,2,Attribute,,Supplier,Inactive Date,0..1,Date,DATE,,"The date marking the change of a supplier's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or insolvency.",Base,18,BS16_07,,
909,2,Attribute,,Supplier,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Base,18,BS16_08,,
910,2,Attribute,,Supplier,Terms Discount Days,0..1,Integer,INTEGER,,"The number of days from the invoice date that the customer is eligible for the discount if payment is made.
",Base,18,BS16_09,,
911,2,Attribute,,Supplier,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Base,18,BS16_10,,
918,2,Reference Association,,Supplier,Corresponding,0..1,,,Customer,The customer associated with or equivalent to a specific supplier in business transactions.,Base,18,BS16_17,,
919,2,Reference Association,,Supplier,,0..1,,,Supplier Type,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,18,BS16_18,,
912,2,Composition,,Supplier,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,18,BS16_11,,
913,2,Composition,,Supplier,Billing,0..1,,,Address,"The address where billing-related documents should be sent for a supplier, typically used for remitting payments and financial documentation.",Base,18,BS16_12,,
914,2,Composition,,Supplier,Physical,0..1,,,Address,"The geographic location of a supplier's premises, comprising street, number, city, and postal code, corresponding to the supplier's actual physical site.",Base,18,BS16_13,,
915,2,Composition,,Supplier,Total Credit Limit,0..1,,,Amount,The maximum monetary amount of credit that a supplier is willing to extend to its customers.,Base,18,BS16_14,,
916,2,Composition,,Supplier,Transaction Credit Limit,0..1,,,Amount,The maximum monetary amount a supplier permits a customer to owe for a single transaction.,Base,18,BS16_15,,
917,2,Composition,,Supplier,Primary,0..1,,,Contact,"The principal point of contact for a supplier, typically accountable for managing correspondence and agreements with customers or clients.",Base,18,BS16_16,,
920,1,Class,,Supplier Hierarchy,,,,,,A class that shows the organized relationships among suppliers.,Base,18,BS17,,
921,2,Reference Association,PK,Supplier Hierarchy,Child,1..1,,,Supplier,The supplier that is classified at a subordinate level within a supplier hierarchy.,Base,18,BS17_01,,
922,2,Reference Association,PK,Supplier Hierarchy,Parent,1..1,,,Supplier,The supplier that is classified at a superior level within a supplier hierarchy.,Base,18,BS17_02,,
923,1,Class,,Supplier Type,,,,,,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,16,BS18,,
924,2,Attribute,PK,Supplier Type,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the type of supplier.,Base,16,BS18_01,,
925,2,Attribute,,Supplier Type,Code,0..1,Code,SUPPLIER TYPE CODE,,The identifier that categorizes the type of supplier within an organizational system.,Base,16,BS18_02,,
926,2,Attribute,,Supplier Type,Name,0..1,Name,Name Medium,,"The designation for the category of supplier based on their attributes.
",Base,16,BS18_03,,
927,1,Class,,Supplier Type Hierarchy,,,,,,A class representing the hierarchical categorization of supplier types for organizational and strategic purposes.,Base,16,BS19,,
928,2,Reference Association,PK,Supplier Type Hierarchy,Child,1..1,,,Supplier Type,The specific category of supplier that is classified at a subordinate level within a supplier hierarchy.,Base,16,BS19_01,,
929,2,Reference Association,PK,Supplier Type Hierarchy,Parent,1..1,,,Supplier Type,The specific category of supplier that is classified at a superior level within a supplier hierarchy.,Base,16,BS19_02,,
930,1,Class,,Tax,,,,,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,0,GE15,,
933,2,Reference Association,,Tax,Credit,0..1,,,Ledger Account,The ledger account that records credits related to tax transactions.,General,0,GE15_03,,
934,2,Reference Association,,Tax,Debit,0..1,,,Ledger Account,The ledger account that records debits related to tax transactions.,General,0,GE15_04,,
935,2,Reference Association,,Tax,,0..1,,,Tax Type,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",General,0,GE15_05,,
931,2,Composition,,Tax,Local,0..1,,,Amount,"The monetary amount of tax assessed based on local tax regulations, recorded in the local currency.",General,0,GE15_01,,
932,2,Composition,,Tax,Transaction,0..1,,,Amount,"The total monetary amount of tax applied to a specific transaction, recorded in the transaction currency.",General,0,GE15_02,,
936,1,Class,,Tax Regulatory,,,,,,"A class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",Base,40,BS20,,
937,2,Attribute,PK,Tax Regulatory,Code,1..1,Identifier,REGULATOR CODE,,The unique code for a regulatory body or jurisdiction.,Base,40,BS20_01,,
938,2,Attribute,,Tax Regulatory,Country Code,0..1,Code,COUNTRY CODE,,"The code for the country in which the tax regulator operates, as per ISO 3166-1.",Base,40,BS20_02,,
939,2,Attribute,,Tax Regulatory,Region,0..1,Name,REGION,,The specific area within a country that falls under the jurisdiction of a tax regulator.,Base,40,BS20_03,,
940,2,Attribute,,Tax Regulatory,Name,0..1,Name,Name Medium,,The name of the entity responsible for tax regulation.,Base,40,BS20_04,,
941,2,Attribute,,Tax Regulatory,Role,0..1,Char,Char Short,,"The jurisdictional level at which the regulator operates, such as federal, regional, or local.",Base,40,BS20_05,,
942,2,Attribute,,Tax Regulatory,Regulator ID,0..1,Char,Char Short,,The identifier for the reporting organization as assigned by the tax regulator.,Base,40,BS20_06,,
943,2,Attribute,,Tax Regulatory,Active Indicator,0..1,Indicator,Indicator,,The binary indicator of whether a regulatory code is currently active.,Base,40,BS20_07,,
944,2,Reference Association,,Tax Regulatory,Reporting Organization,0..1,,,Business Segment,The class represents tax reporting entities within the auditee's organization.,Base,40,BS20_08,,
945,2,Reference Association,,Tax Regulatory,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,40,BS20_09,,
946,2,Reference Association,,Tax Regulatory,Accrual,0..1,,,Ledger Account,The ledger account used for recording accrued taxes as per regulatory requirements.,Base,40,BS20_10,,
947,2,Reference Association,,Tax Regulatory,Expense,0..1,,,Ledger Account,The ledger account used for recording tax expenses as per regulatory requirements.,Base,40,BS20_11,,
948,2,Reference Association,,Tax Regulatory,Payable,0..1,,,Ledger Account,The ledger account used for recording taxes payable as per regulatory requirements.,Base,40,BS20_12,,
949,1,Class,,Tax Type,,,,,,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Base,42,BS21,,
950,2,Attribute,PK,Tax Type,Code,1..1,Identifier,TAX TYPE CODE,,The unique code used to classify a tax type.,Base,42,BS21_01,,
951,2,Attribute,,Tax Type,Tax Name,0..1,Name,Name Medium,,The official title assigned to a category of tax.,Base,42,BS21_02,,
952,2,Attribute,,Tax Type,Description,0..1,Text,Text Medium,,The details that define and categorize a specific tax type.,Base,42,BS21_03,,
953,2,Attribute,,Tax Type,Tax Code Description,0..1,Text,Text Medium,,The narrative that clarifies the specific tax code and its application within the broader tax type.,Base,42,BS21_04,,
954,2,Attribute,,Tax Type,Tax Percentage,0..1,Decimal,Percent,,The standard rate applied to a specific tax type and code.,Base,42,BS21_05,,
955,2,Reference Association,,Tax Type,,0..*,,,Business Segment,The class represents the business unit associated with reporting activities within the auditee's organization.,Base,42,BS21_06,,
956,2,Reference Association,,Tax Type,,0..1,,,Tax Regulatory,"The class that holds regulatory information related to taxation, providing instructions for compliance with tax laws across different jurisdictions.",Base,42,BS21_07,,
957,1,Class,,User,,,,,,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",Base,10,BS22,,
958,2,Attribute,PK,User,ID,1..1,Identifier,Identifier Short,,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",Base,10,BS22_01,,
959,2,Attribute,,User,Active Indicator,0..1,Indicator,Indicator,,The flag indicating the active status of a user within the system. An active status signifies that the user is authorized and able to access system functionalities.,Base,10,BS22_02,,
960,2,Attribute,,User,Status Modified Date,0..1,Date,DATE,,The date on which the activation or termination status of the user was last modified.,Base,10,BS22_03,,
961,2,Attribute,,User,Name,0..1,Name,Name Medium,,The identifying label assigned to an individual within the system.,Base,10,BS22_04,,
962,2,Attribute,,User,Job Title,0..1,Char,Char Long,,"The designation of the individual's role within the system, indicating their position or responsibility.",Base,10,BS22_05,,
963,2,Attribute,,User,Role Responsibility,0..1,Char,Char Long,,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,Base,10,BS22_06,,
964,2,Reference Association,,User,Department,0..1,,,Business Segment,The department within a business segment that is associated with a particular user.,Base,10,BS22_07,,
