sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
812,2,Reference Association,,Purchase Order Line,,0..1,,,Project,"A class that records the comprehensive details of a project, related to purchase order lines.",Purchase,110,PR08_02
813,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Purchase,110,PR08_03
814,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Contract Line,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,110,PR08_04
815,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Requisition,"A class summarizing requests to procure goods or services, indicating organizational needs during the review period.",Purchase,110,PR08_05
816,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Requisition Line,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,110,PR08_06
767,1,Class,,Purchase Invoice,,,,,,A class representing a vendor-issued document that details charges for goods or services provided within a specified period.,Purchase,112,PR03
524,2,Attribute,PK,Purchase Invoice.Invoice,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an invoice.,Purchase,0,PR03_GE11_01
525,2,Attribute,,Purchase Invoice.Invoice,Number,0..1,Char,Char Long,,The number for an invoice.,Purchase,0,PR03_GE11_02
526,2,Attribute,,Purchase Invoice.Invoice,Official Invoice Code,0..1,Char,Char Short,,The identifier for an invoice that is assigned by tax authorities.,Purchase,0,PR03_GE11_03
527,2,Attribute,,Purchase Invoice.Invoice,Type Name,0..1,Name,Name Short,,The descriptor that categorizes the nature of an invoice.,Purchase,0,PR03_GE11_04
528,2,Attribute,,Purchase Invoice.Invoice,Date,0..1,Date,DATE,,The official date recorded on an invoice which initiates the calculation period for payment due.,Purchase,0,PR03_GE11_05
529,2,Attribute,,Purchase Invoice.Invoice,Due Date,0..1,Date,DATE,,The date by which payment for an invoice is required.,Purchase,0,PR03_GE11_06
530,2,Attribute,,Purchase Invoice.Invoice,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Purchase,0,PR03_GE11_07
531,2,Attribute,,Purchase Invoice.Invoice,Terms Discount Days,0..1,Integer,INTEGER,,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,Purchase,0,PR03_GE11_08
532,2,Attribute,,Purchase Invoice.Invoice,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Purchase,0,PR03_GE11_09
533,2,Attribute,,Purchase Invoice.Invoice,Grouping Code,0..1,Char,Char Long,,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,Purchase,0,PR03_GE11_10
534,2,Attribute,,Purchase Invoice.Invoice,Status,0..1,Code,STATUS CODE,,The current state of the invoice's lifecycle.,Purchase,0,PR03_GE11_11
535,2,Attribute,,Purchase Invoice.Invoice,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an invoice.,Purchase,0,PR03_GE11_12
536,2,Composition,,Purchase Invoice.Invoice,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,PR03_GE11_13
537,2,Composition,,Purchase Invoice.Invoice,Transaction,0..1,,,Amount,"The total monetary amount of all items on an invoice, summing the transaction amounts of individual lines.",Purchase,0,PR03_GE11_14
538,2,Composition,,Purchase Invoice.Invoice,,0..*,,,Tax,"The class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,PR03_GE11_15
539,2,Reference Association,,Purchase Invoice.Invoice,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,0,PR03_GE11_16
540,2,Reference Association,,Purchase Invoice.Invoice,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR03_GE11_17
541,2,Reference Association,,Purchase Invoice.Invoice,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,0,PR03_GE11_18
542,2,Reference Association,,Purchase Invoice.Invoice,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,0,PR03_GE11_19
769,2,Composition,,Purchase Invoice,,0..*,,,Purchase Invoice Line,"A class describing the specifics of each invoice line received during the period under review, used to validate that invoiced items match ordered and received goods in the three-way matching process.",Purchase,112,PR03_01
770,2,Reference Association,,Purchase Invoice,Settlement Organization,0..1,,,Business Segment,The business segment associated with the organization that settles purchase invoices.,Purchase,112,PR03_02
771,2,Reference Association,,Purchase Invoice,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,112,PR03_03
772,1,Class,,Purchase Invoice Line,,,,,,A class representing detailed charges for individual goods or services provided as listed on a purchase invoice.,Purchase,114,PR04
544,2,Attribute,PK,Purchase Invoice Line.Invoice Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within an invoice.,Purchase,0,PR04_GE12_01
545,2,Attribute,,Purchase Invoice Line.Invoice Line,Number,0..1,Char,Char Short,,The number for a particular line of an invoice.,Purchase,0,PR04_GE12_02
546,2,Attribute,,Purchase Invoice Line.Invoice Line,Grouping Code,0..1,Char,Char Long,,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,Purchase,0,PR04_GE12_03
547,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",Purchase,0,PR04_GE12_04
548,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in the transaction currency.",Purchase,0,PR04_GE12_05
549,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Include,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",Purchase,0,PR04_GE12_06
550,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Include Unit Price,0..1,,,Amount,"The unit price for an invoice line item with tax, recorded in the transaction currency.",Purchase,0,PR04_GE12_07
551,2,Composition,,Purchase Invoice Line.Invoice Line,Transaction,0..1,,,Amount,"The monetary amount of a single item within an invoice, representing the transaction amount for that specific line.",Purchase,0,PR04_GE12_08
552,2,Composition,,Purchase Invoice Line.Invoice Line,Basic UOM,0..1,,,Quantity,The quantity of items on an invoice line as measured by the basic unit of measure.,Purchase,0,PR04_GE12_09
553,2,Composition,,Purchase Invoice Line.Invoice Line,Invoice,0..1,,,Quantity,The quantity of items listed on an invoice line.,Purchase,0,PR04_GE12_10
554,2,Composition,,Purchase Invoice Line.Invoice Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,PR04_GE12_11
555,2,Reference Association,,Purchase Invoice Line.Invoice Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR04_GE12_12
556,2,Reference Association,,Purchase Invoice Line.Invoice Line,,0..1,,,Inventory Product,The inventory product detailed in an invoice line item.,Purchase,0,PR04_GE12_13
557,2,Reference Association,,Purchase Invoice Line.Invoice Line,Credit,0..1,,,Ledger Account,The ledger account associated with credit transactions on invoice lines.,Purchase,0,PR04_GE12_14
558,2,Reference Association,,Purchase Invoice Line.Invoice Line,Debit,0..1,,,Ledger Account,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,Purchase,0,PR04_GE12_15
774,2,Reference Association,,Purchase Invoice Line,Purchase,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product specified on a purchase invoice line.,Purchase,114,PR04_01
775,2,Reference Association,,Purchase Invoice Line,,0..1,,,Purchase Order,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,114,PR04_02
776,2,Reference Association,,Purchase Invoice Line,,0..1,,,Purchase Order Line,"A class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,114,PR04_03
777,1,Class,,Purchase Materials Received,,,,,,A class capturing the details of goods received against purchase orders within a specified period.,Purchase,116,PR05
778,2,Attribute,PK,Purchase Materials Received,ID,1..1,Identifier,Identifier Long,,The unique identifier for a particular materials receipt transaction.,Purchase,116,PR05_01
779,2,Attribute,,Purchase Materials Received,Number,0..1,Char,Char Long,,The number for a receipt documenting the reception of purchased materials.,Purchase,116,PR05_02
780,2,Attribute,,Purchase Materials Received,Date,0..1,Date,DATE,,The date when materials purchased by the company are recorded as received.,Purchase,116,PR05_03
781,2,Attribute,,Purchase Materials Received,Reference Number,0..1,Char,Char Long,,"The number for a materials receipt, such as a company reference or official logistics waybill number.",Purchase,116,PR05_04
782,2,Attribute,,Purchase Materials Received,Shipping Method,0..1,Char,Char Medium,,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Purchase,116,PR05_05
783,2,Attribute,,Purchase Materials Received,Shipping Company,0..1,Name,Name Short,,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Purchase,116,PR05_06
784,2,Attribute,,Purchase Materials Received,Adjustment Indicator,0..1,Indicator,Indicator,,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment,Purchase,116,PR05_07
785,2,Attribute,,Purchase Materials Received,Adjustment Description,0..1,Text,Text Medium,,"Textual clarification provided when changes are made to a recorded receipt, specifying the cause and nature of the adjustment.",Purchase,116,PR05_08
786,2,Composition,,Purchase Materials Received,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,116,PR05_09
787,2,Composition,,Purchase Materials Received,Transaction,0..1,,,Amount,"The cumulative monetary amount for all materials received within a purchase, recorded in the transaction currency specified for the entire receipt.",Purchase,116,PR05_10
788,2,Composition,,Purchase Materials Received,,0..*,,,Purchase Materials Received Line,"A class providing the details of each material line received during the period under review, essential for the three-way matching process that checks received quantities and conditions against the purchase order specifications.",Purchase,116,PR05_11
789,2,Reference Association,,Purchase Materials Received,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,116,PR05_12
790,2,Reference Association,,Purchase Materials Received,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,116,PR05_13
791,2,Reference Association,,Purchase Materials Received,Receipt Organization,0..1,,,Business Segment,The business segment of the organization that receives purchased materials.,Purchase,116,PR05_14
792,2,Reference Association,,Purchase Materials Received,,0..1,,,Purchase Order,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,116,PR05_15
793,2,Reference Association,,Purchase Materials Received,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,116,PR05_16
794,1,Class,,Purchase Materials Received Line,,,,,,"A class detailing the specifics of each item received, including the quantity, unit price, and total amount related to the purchase.",Purchase,118,PR06
795,2,Attribute,PK,Purchase Materials Received Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a specific line within a materials receipt record.,Purchase,118,PR06_01
796,2,Attribute,,Purchase Materials Received Line,Number,0..1,Char,Char Long,,The number for a specific line within a materials receipt document.,Purchase,118,PR06_02
797,2,Composition,,Purchase Materials Received Line,Transaction,0..1,,,Amount,"The monetary amount for a line of received materials within a purchase, recorded in the transaction currency specified for the receipt of that line.",Purchase,118,PR06_03
798,2,Composition,,Purchase Materials Received Line,Unit Price,0..1,,,Amount,"The monetary amount per unit for a line of materials received as part of a purchase, recorded in the transaction currency specified for the receipt line.",Purchase,118,PR06_04
799,2,Composition,,Purchase Materials Received Line,,0..1,,,Quantity,The quantity of items recorded as received on a purchase receipt line.,Purchase,118,PR06_05
800,2,Reference Association,,Purchase Materials Received Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,118,PR06_06
801,2,Reference Association,,Purchase Materials Received Line,,0..1,,,Inventory Product,The inventory product specified in a purchase materials received line item.,Purchase,118,PR06_07
802,2,Reference Association,,Purchase Materials Received Line,,0..1,,,Purchase Order Line,"The class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,118,PR06_08
380,1,Class,,Inventory Location,,,,,,A class stores information about a specific location where inventory items may be tracked.,Inventory,121,IV01
381,2,Attribute,PK,Inventory Location,ID,1..1,Identifier,Identifier Medium,,The unique identifier assigned to each inventory location.,Inventory,121,IV01_01
382,2,Attribute,,Inventory Location,Code,0..1,Char,Char Long,,The code used to identify the location at a local level.,Inventory,121,IV01_02
383,2,Attribute,,Inventory Location,Description,0..1,Text,Text Medium,,"The textual description of the location, often providing additional details about its name or purpose.",Inventory,121,IV01_03
384,2,Attribute,,Inventory Location,Type,0..1,Char,Char Short,,The classification describing the type or category of the inventory location.,Inventory,121,IV01_04
385,2,Attribute,,Inventory Location,Active Indicator,0..1,Indicator,Indicator,,The flag indicates whether the location is currently active or inactive.,Inventory,121,IV01_05
386,2,Composition,,Inventory Location,Physical,0..1,,,Address,The physical address associated with the inventory location.,Inventory,121,IV01_06
387,2,Reference Association,,Inventory Location,,0..*,,,Business Segment,The business segment responsible for the physical storage and management of inventory within a specific location or warehouse.,Inventory,121,IV01_07
388,2,Reference Association,,Inventory Location,Inventory Organization,0..1,,,Business Segment,The business segment or organization responsible for managing inventory at this location.,Inventory,121,IV01_08
389,1,Class,,Inventory Location Hierarchy,,,,,,A class outlines the structure and relationships of various inventory locations.,Inventory,121,IV02
390,2,Reference Association,PK,Inventory Location Hierarchy,Child,1..1,,,Inventory Location,The inventory location instance that is designated as a subordinate in an inventory location hierarchy structure.,Inventory,121,IV02_01
391,2,Reference Association,PK,Inventory Location Hierarchy,Parent,1..1,,,Inventory Location,The inventory location instance that is designated as a superior in an inventory location hierarchy structure.,Inventory,121,IV02_02
476,1,Class,,Inventory Product Type,,,,,,A class that categorizes inventory items into types and organizes these types within a hierarchical structure.,Inventory,123,IV07
459,2,Attribute,PK,Inventory Product,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an inventory item.,Inventory,125,IV06_01
460,2,Attribute,,Inventory Product,Code,0..1,Char,Char Long,,The exclusive code assigned to a product within an inventory system for tracking and internal management.,Inventory,125,IV06_02
479,2,Attribute,,Inventory Product Type,Name,0..1,Name,Name Medium,,The label that identifies the classification of inventory items based on their stage in the production cycle or their function.,Inventory,123,IV07_03
480,2,Attribute,,Inventory Product Type,Description,0..1,Text,Text Medium,,The text that details the attributes and categorization criteria of an inventory product type.,Inventory,123,IV07_04
469,2,Reference Association,,Inventory Product,,0..*,,,Business Segment,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Inventory,125,IV06_11
482,1,Class,,Inventory Product Type Hierarchy,,,,,,A class outlines the structure and relationships of different product types.,Inventory,123,IV08
483,2,Reference Association,PK,Inventory Product Type Hierarchy,Child,1..1,,,Inventory Product Type,The specific category of product type that is classified at a subordinate level within a product type hierarchy.,Inventory,123,IV08_01
484,2,Reference Association,PK,Inventory Product Type Hierarchy,Parent,1..1,,,Inventory Product Type,The specific category of product type that is classified at a superior level within a product type hierarchy.,Inventory,123,IV08_02
458,1,Class,,Inventory Product,,,,,,A class that describes an inventory item with all its essential attributes and tracking details.,Inventory,125,IV06
461,2,Attribute,,Inventory Product,Product Group1,0..1,Char,Char Short,,The primary category or classification to which a product belongs.,Inventory,125,IV06_03
462,2,Attribute,,Inventory Product,Product Group2,0..1,Char,Char Short,,The secondary category or classification to which a product belongs.,Inventory,125,IV06_04
463,2,Attribute,,Inventory Product,Inventory Bar Code,0..1,Char,Char Medium,,The barcode symbol assigned to a product for unique identification and tracking.,Inventory,125,IV06_05
464,2,Attribute,,Inventory Product,Default Costing Method,0..1,Char,Char Medium,,"The method an organization uses to compute and record the financial value of inventory items, important for precise cost of goods sold reporting and inventory valuation on financial statements.",Inventory,125,IV06_06
465,2,Attribute,,Inventory Product,Out Of Service Date,0..1,Date,DATE,,The date on which an inventory item is designated as no longer in service.,Inventory,125,IV06_07
466,2,Attribute,,Inventory Product,Out Of Service Indicator,0..1,Indicator,Indicator,,The indicator that denotes whether an inventory item is out of service.,Inventory,125,IV06_08
467,2,Attribute,,Inventory Product,Lot Number,0..1,Char,Char Medium,,The number for a batch of products for tracking and inventory management purposes.,Inventory,125,IV06_09
468,2,Attribute,,Inventory Product,Serial Number,0..1,Char,Char Medium,,"The number for an individual item within a group of products, used for tracking and inventory management.",Inventory,125,IV06_10
470,2,Reference Association,,Inventory Product,,0..1,,,Inventory Product Type,The inventory product type classification.,Inventory,125,IV06_12
471,2,Reference Association,,Inventory Product,Asset,0..1,,,Ledger Account,The ledger account that tracks the value of inventory products classified as assets.,Inventory,125,IV06_13
472,2,Reference Association,,Inventory Product,Cost,0..1,,,Ledger Account,The ledger account that records the costs associated with inventory products.,Inventory,125,IV06_14
473,2,Reference Association,,Inventory Product,Basic,0..1,,,Measurement Unit,The class represents a n unit of measure for the quantity of an inventory product utilized in stock management.,Inventory,125,IV06_15
474,2,Reference Association,,Inventory Product,Default Stocking,0..1,,,Measurement Unit,The class represents a unit of measure typically used for stocking this inventory product.,Inventory,125,IV06_16
475,2,Reference Association,,Inventory Product,Preferred,0..1,,,Supplier,The class containing essential information about prefered supplier.,Inventory,125,IV06_17
392,1,Class,,Inventory On Hand,,,,,,A class represents the inventory currently available in stock.,Inventory,127,IV03
393,2,Attribute,PK,Inventory On Hand,ID,1..1,Identifier,Identifier Medium,,The unique identifier assigned to each inventory item,Inventory,127,IV03_01
394,2,Attribute,,Inventory On Hand,Lot Number,0..1,Char,Char Medium,,The specific identification number assigned to a batch of products produced or received together.,Inventory,127,IV03_02
395,2,Attribute,,Inventory On Hand,Serial Number,0..1,Char,Char Medium,,The individualized identifier assigned to a single unit of inventory for tracking purposes.,Inventory,127,IV03_03
396,2,Attribute,,Inventory On Hand,ABC Code,0..1,Code,INVENTORY ABC CODE,,The classification code used to categorize inventory items based on their value or importance.,Inventory,127,IV03_04
397,2,Attribute,,Inventory On Hand,As Of Date,0..1,Date,DATE,,The date indicating the time at which the inventory status is recorded.,Inventory,127,IV03_05
398,2,Attribute,,Inventory On Hand,Last Count Date,0..1,Date,DATE,,The date of the most recent physical inventory count for the item.,Inventory,127,IV03_06
399,2,Attribute,,Inventory On Hand,Cost Method,0..1,Char,Char Short,,The method used to calculate the cost of inventory items.,Inventory,127,IV03_07
400,2,Attribute,,Inventory On Hand,Bin ID,0..1,Char,Char Short,,The identifier for the storage location within a warehouse where the inventory is kept.,Inventory,127,IV03_08
401,2,Attribute,,Inventory On Hand,Bin Location,0..1,Char,Char Medium,,The specific physical location within a warehouse where the inventory is stored.,Inventory,127,IV03_09
402,2,Composition,,Inventory On Hand,Average Cost,0..1,,,Amount,"The mean cost per unit of inventory, calculated by dividing the total cost by the total quantity of items.",Inventory,127,IV03_10
403,2,Composition,,Inventory On Hand,Cost,0..1,,,Amount,The cost per unit calculated using the designated inventory cost method.,Inventory,127,IV03_11
404,2,Composition,,Inventory On Hand,List Price,0..1,,,Amount,The predetermined retail price of an item established by the manufacturer or seller for sale to customers.,Inventory,127,IV03_12
405,2,Composition,,Inventory On Hand,Specific Cost,0..1,,,Amount,The cost specific to each item and may vary depending on factors such as purchase terms or supplier agreements.,Inventory,127,IV03_13
406,2,Composition,,Inventory On Hand,Standard Cost,0..1,,,Amount,"The predetermined unit cost of inventory, determined by projecting expenses and production efficiencies.",Inventory,127,IV03_14
407,2,Composition,,Inventory On Hand,Book,0..1,,,Quantity,"The quantity of inventory items as recorded in the inventory system, expressed in the Inventory Stocking Unit of Measure Code.",Inventory,127,IV03_15
408,2,Composition,,Inventory On Hand,Inventory Purchase Year To Date,0..1,,,Quantity,"The total quantity of inventory acquired, excluding returns, from the beginning of the current accounting period, measured in the basic unit of measure code.",Inventory,127,IV03_16
409,2,Composition,,Inventory On Hand,Inventory Sold Year To Date,0..1,,,Quantity,"The quantity of inventory sold from this location year-to-date, excluding transfers between internal locations, donations, or samples sent out for promotional purposes, measured in the basic unit of measure code.",Inventory,127,IV03_17
410,2,Composition,,Inventory On Hand,Physical Count,0..1,,,Quantity,"The actual quantity on hand resulting from a physical count, expressed in the Basic Unit of Measure Code.",Inventory,127,IV03_18
411,2,Composition,,Inventory On Hand,System Quantity,0..1,,,Quantity,Actual quantity on hand from the physical count in the Basic_UOM_Code.,Inventory,127,IV03_19
412,2,Reference Association,,Inventory On Hand,,0..*,,,Business Segment,The organizational unit within which inventory operations are conducted.,Inventory,127,IV03_20
413,2,Reference Association,,Inventory On Hand,Cost Organization,0..1,,,Business Segment,The business segment responsible for managing the cost aspects of inventory.,Inventory,127,IV03_21
414,2,Reference Association,,Inventory On Hand,Inventory Organization,0..1,,,Business Segment,The business segment responsible for overall inventory management.,Inventory,127,IV03_22
415,2,Reference Association,,Inventory On Hand,Functional,0..1,,,Currency,The currency used for financial transactions and reporting within the inventory system.,Inventory,127,IV03_23
416,2,Reference Association,,Inventory On Hand,,0..1,,,Inventory Location,The physical location or warehouse where the inventory is stored.,Inventory,127,IV03_24
417,2,Reference Association,,Inventory On Hand,,0..1,,,Inventory Product,The product associated with the inventory item.,Inventory,127,IV03_25
418,2,Reference Association,,Inventory On Hand,Costing,0..1,,,Measurement Unit,The unit of measurement used for costing inventory item.,Inventory,127,IV03_26
419,2,Reference Association,,Inventory On Hand,Purchasing,0..1,,,Measurement Unit,The unit of measurement used for purchasing inventory item.,Inventory,127,IV03_27
420,2,Reference Association,,Inventory On Hand,Selling,0..1,,,Measurement Unit,The unit of measurement used for selling inventory item.,Inventory,127,IV03_28
421,2,Reference Association,,Inventory On Hand,Stocking,0..1,,,Measurement Unit,The unit of measurement used for stocking inventory item.,Inventory,127,IV03_29
485,1,Class,,Inventory Transaction,,,,,,"A class that logs the details of inventory movements and adjustments within a specified period, where each entry reflects a change in inventory levels or value.",Inventory,129,IV09
486,2,Attribute,PK,Inventory Transaction,Document ID,1..1,Identifier,Identifier Long,,The primary unique identifier for the document detailing an inventory transaction.,Inventory,129,IV09_01
487,2,Attribute,PK,Inventory Transaction,Document Line ID,1..1,Identifier,Identifier Long,,"The secondary unique identifier that works in conjunction with the Transaction Document ID to specify individual lines of an inventory transaction document, providing granularity and detail for each item within a transaction.",Inventory,129,IV09_02
488,2,Attribute,,Inventory Transaction,Date,0..1,Date,DATE,,The date the inventory transaction was conducted as recorded in the related document.,Inventory,129,IV09_03
489,2,Attribute,,Inventory Transaction,Time,0..1,Time,TIME,,The exact time when the inventory transaction occurred as indicated in the related document.,Inventory,129,IV09_04
490,2,Attribute,,Inventory Transaction,Type,0..1,Char,Char Long,,"The classification of the inventory transaction, detailing the nature of the movement or adjustment.",Inventory,129,IV09_05
491,2,Attribute,,Inventory Transaction,Type System,0..1,Char,Char Medium,,The internal code used by the accounting software to identify the transaction type.,Inventory,129,IV09_06
492,2,Attribute,,Inventory Transaction,Description,0..1,Text,Text Medium,,The summary of the inventory transaction's details.,Inventory,129,IV09_07
493,2,Attribute,,Inventory Transaction,Inventory Document ID,0..1,Char,Char Medium,,The identifier for the document that serves as the source or reason for the inventory transaction.,Inventory,129,IV09_08
494,2,Attribute,,Inventory Transaction,Inventory Document Number,0..1,Char,Char Long,,The reference number of the document that is the basis for the inventory transaction.,Inventory,129,IV09_09
495,2,Attribute,,Inventory Transaction,Inventory Document Line ID,0..1,Char,Char Medium,,The identifier for the specific line in the document that details the inventory transaction.,Inventory,129,IV09_10
496,2,Attribute,,Inventory Transaction,Inventory Document Line Number,0..1,Char,Char Short,,The line sequence in the document that relates to the inventory transaction.,Inventory,129,IV09_11
497,2,Attribute,,Inventory Transaction,Status,0..1,Code,STATUS CODE,,The current processing state of the inventory transaction.,Inventory,129,IV09_12
498,2,Attribute,,Inventory Transaction,Lot Number,0..1,Char,Char Medium,,The number for a batch of products for tracking and inventory management purposes.,Inventory,129,IV09_13
499,2,Attribute,,Inventory Transaction,Serial Number,0..1,Char,Char Medium,,The unique identifier assigned to each product item for tracking and inventory management purposes.,Inventory,129,IV09_14
500,2,Attribute,,Inventory Transaction,Required By,0..1,Name,Name Medium,,The individual or entity that requests the transfer of inventory.,Inventory,129,IV09_15
501,2,Attribute,,Inventory Transaction,Inventory System Or External Source,0..1,Code,SOURCE CODE,,"The code signifying the origin of the inventory transaction, with 'I' for internal and 'E' for external transactions.",Inventory,129,IV09_16
502,2,Attribute,,Inventory Transaction,Received And Dispatched Indicator,0..1,Indicator,Indicator,,The indicator signifying whether the inventory transaction is a result of dispatching or receiving.,Inventory,129,IV09_17
503,2,Composition,,Inventory Transaction,,0..1,,,Activities,"The class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Inventory,129,IV09_18
504,2,Composition,,Inventory Transaction,Adjustment Cost,0..1,,,Amount,"The change in cost per unit, whether an increase or decrease, as specified by the inventory cost method.",Inventory,129,IV09_19
505,2,Composition,,Inventory Transaction,Inventory Cost,0..1,,,Amount,The cost per unit calculated using the designated inventory cost method.,Inventory,129,IV09_20
506,2,Composition,,Inventory Transaction,,0..1,,,Quantity,"The number of units affected in a transaction, recorded in the Basic Unit of Measure Code, positive for received inventory and negative for dispatched inventory.",Inventory,129,IV09_21
507,2,Reference Association,,Inventory Transaction,,0..*,,,Business Segment,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Inventory,129,IV09_22
508,2,Reference Association,,Inventory Transaction,Cost Organization,0..1,,,Business Segment,The class concerning the organization that handles the inventory cost management.,Inventory,129,IV09_23
509,2,Reference Association,,Inventory Transaction,Inventory Organization,0..1,,,Business Segment,The class concerning the organization that handles the inventory management.,Inventory,129,IV09_24
510,2,Reference Association,,Inventory Transaction,Functional,0..1,,,Currency,The code of currency in which inventory values are expressed.,Inventory,129,IV09_25
511,2,Reference Association,,Inventory Transaction,,0..1,,,Customer,A class that records basic customer information in the context of inventory transactions.,Inventory,129,IV09_26
512,2,Reference Association,,Inventory Transaction,From,0..1,,,Inventory Location,The initial physical location from which the inventory item's transactional movement is recorded.,Inventory,129,IV09_27
513,2,Reference Association,,Inventory Transaction,To,0..1,,,Inventory Location,The destination physical location which the inventory item's transactional movement is recorded.,Inventory,129,IV09_28
514,2,Reference Association,,Inventory Transaction,,0..1,,,Inventory Product,The distinct product item whose quantity is determined and recorded during an inventory transfer transaction.,Inventory,129,IV09_29
515,2,Reference Association,,Inventory Transaction,Credit,0..1,,,Ledger Account,The account credited in response to an increase in inventory.,Inventory,129,IV09_30
516,2,Reference Association,,Inventory Transaction,Debit,0..1,,,Ledger Account,The account debited when inventory is reduced or dispatched.,Inventory,129,IV09_31
517,2,Reference Association,,Inventory Transaction,Costing,0..1,,,Measurement Unit,The unit of measure used for quantifying an inventory product used in cost management.,Inventory,129,IV09_32
518,2,Reference Association,,Inventory Transaction,Stocking,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product utilized in stock management.,Inventory,129,IV09_33
519,2,Reference Association,,Inventory Transaction,,0..1,,,Project,"A class that provides a comprehensive record of a project's various dimensions, pertinent to inventory transactions.",Inventory,129,IV09_34
520,2,Reference Association,,Inventory Transaction,,0..1,,,Purchase Order Line,"The class that represents a single item within a purchase order, distinguishing among various items and their respective quantities within that order.",Inventory,129,IV09_35
