seq,level,Property type,Identifier,class,Property term,representation,Associate class,card,description,module,table,domain_name,element,label_local,definition_local,note
266,2,Attribute,,Party,Identifier Type,xbrli:stringItemType,,0..1,"Entity type (enumerated): e.g., customer, vendor, employee.",gl-cor,,,gl-cor:identifierType,CVE種別,実体の種別。例えば、顧客、仕入先、従業員。\n[設定値のリスト]\n(C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者) ,
267,2,Attribute,,Party,Identifier Category,xbrli:stringItemType,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",gl-cor,,,gl-cor:identifierCategory,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,
268,2,Composition,,Party,,,Email Address,0..1,Email address for Identifier.,gl-cor,,,,【Eメールアドレス】,CVE識別子のEメールアドレス。,
269,2,Composition,,Party,,,Phone Number,0..1,Phone number related to Identifier.,gl-cor,,,,【電話番号】,CVE識別子の電話番号。,
270,2,Composition,,Party,,,Fax Number,0..1,Fax number structure related to identifier.,gl-cor,,,,【FAX番号】,CVE識別子のFAX番号の構造体。,
271,2,Attribute,,Party,Identifier Purpose,xbrli:stringItemType,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-bus,,,gl-bus:identifierPurpose,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,
272,2,Composition,,Party,,,Address,0..1,"Address (block) of customer, vendor, employee for integration purposes, VAT.",gl-bus,,,,【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,
273,2,Composition,,Party,,,Contact,0..1,Identifier Contact Information Structure,gl-cor,,,,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,
274,2,Attribute,,Party,Identifier Active,xbrli:stringItemType,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",gl-cor,,,gl-cor:identifierActive,CVE有効性,CVE識別子が有効か無効かを示すブール値。,
275,1,Class,,Phone Number,,,,,Phone Number,gl-gen,,,gl-gen:phone,【電話番号】,電話番号,
276,2,Attribute,,Phone Number,Description,xbrli:stringItemType,,0..1,"Phone Number Description such as Main, Investor relations, etc.",gl-gen,,,gl-gen:phoneNumberDescription,電話番号説明,代表、IR用などの、電話番号の説明。 [設定値のリスト] (bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,
277,2,Attribute,,Phone Number,Number,xbrli:stringItemType,,0..1,phone number referred to in the description.,gl-gen,,,gl-gen:phoneNumber,電話番号,説明で示される担電話番号,
278,1,Class,,Reporting Calendar Period,,,,,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,,,gl-bus:reportingCalendarPeriod,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,
279,2,Attribute,PK,Reporting Calendar Period,Identifier,xbrli:stringItemType,,0..1,An identifier for this period in this calendar,gl-bus,,,gl-bus:periodIdentifier,報告期間識別子,このカレンダーにおけるこの期間の識別子。,
280,2,Attribute,,Reporting Calendar Period,Description,xbrli:stringItemType,,0..1,A description of this specific reporting period in this calendar.,gl-bus,,,gl-bus:periodDescription,期間説明,このカレンダーにおけるこの特定の期間の説明。,
281,2,Attribute,,Reporting Calendar Period,Start Date,xbrli:stringItemType,,0..1,The beginning date/time of a period,gl-bus,,,gl-bus:periodStart,期間開始日付,期間の開始日付/時刻\n,
282,2,Attribute,,Reporting Calendar Period,End Date,xbrli:stringItemType,,0..1,The ending date/time of a period,gl-bus,,,gl-bus:periodEnd,期間終了日付,期間の終了日付/時刻\n,
283,2,Attribute,,Reporting Calendar Period,Period Closed Date,xbrli:stringItemType,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",gl-bus,,,gl-bus:periodClosedDate,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",
284,1,Class,,Reporting Calendar,,,,,A tool to collect the periods used to summarise results from transactions.,gl-bus,,,gl-bus:reportingCalendar,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,
285,2,Attribute,,Reporting Calendar,Code,xbrli:stringItemType,,0..1,"The code used to identify this specific reporting calendar, unique across periods",gl-bus,,,gl-bus:reportingCalendarCode,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,
286,2,Attribute,,Reporting Calendar,Description,xbrli:stringItemType,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-bus,,,gl-bus:reportingCalendarDescription,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,
287,2,Attribute,,Reporting Calendar,Title,xbrli:stringItemType,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-bus,,,gl-bus:reportingCalendarTitle,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,
288,2,Attribute,,Reporting Calendar,Code Related to Type of Periods,xbrli:stringItemType,,0..1,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",gl-bus,,,gl-bus:reportingCalendarPeriodType,期間種別コード,報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他\n[設定値のリスト]\n(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他) \n,
289,2,Attribute,,Reporting Calendar,Description of periods,xbrli:stringItemType,,0..1,A description of the type of period involved.,gl-bus,,,gl-bus:reportingCalendarPeriodTypeDescription,期間種別説明,報告期間の種別の説明。,
290,2,Attribute,,Reporting Calendar,Closed status,xbrli:stringItemType,,0..1,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",gl-bus,,,gl-bus:reportingCalendarOpenClosedStatus,締状態,報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中\n[設定値のリスト]\n(open：オープン)、(closed：締切り済み)、(pending：保留中) \n,
291,2,Attribute,,Reporting Calendar,Reporting Purpose,xbrli:stringItemType,,0..1,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,gl-bus,,,gl-bus:reportingPurpose,報告目的,帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),
292,2,Attribute,,Reporting Calendar,Reporting Purpose Description,xbrli:stringItemType,,0..1,Free format description of the reporting purpose,gl-bus,,,gl-bus:reportingPurposeDescription,報告目的説明,報告目的の説明。,
293,2,Composition,,Reporting Calendar,,,Reporting Calendar Period,0..1,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,,,,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,
294,1,Class,,Serial Lot,,,,,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure.",gl-ehm,,,gl-ehm:serialLot,シリアルロット,シリアル番号またはロット（バッチ）に関する情報を保持するためのタプル。タプルとして、これにより、単一のgl-cor：measurable構造内で複数のシリアル番号または複数のロット番号のバッチが許可されます。,
295,2,Attribute,,Serial Lot,Serial Lot Code,xbrli:stringItemType,,0..1,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed.",gl-ehm,,,gl-ehm:serialLotCode,シリアルロットコード,このアイテムはシリアル番号またはロット番号で追跡されていますか？シリアル番号は通常、単一に割り当てられた一意の番号です。アイテムのバッチがファンジブルであるが、他のバッチの同様のアイテムと区別する必要がある場合は、ロット番号またはバッチ番号が提供されます。シリアルまたはロットアイテムの列挙型インジケーター。列挙は、シリアル、ロット、その他、どちらでもありません。タプルに含まれていない場合、どちらも想定されません。,
296,2,Attribute,,Serial Lot,Serial Lot Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,gl-ehm,,,gl-ehm:serialLotDescription,シリアルロットの説明,gl-ehm：serialLotCodeに関連付けられた自由形式の説明。特殊化を提供し、特にserialLotCode内の他の列挙値を明確にします。例としては、「バッチ」や「グループ」などがあります。,
297,2,Attribute,,Serial Lot,Serial Lot Number,xbrli:stringItemType,,0..1,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,gl-ehm,,,gl-ehm:serialLotNumber,シリアルロット番号,アイテムまたはアイテムのバッチに割り当てられた実際のシリアル番号またはロット（バッチ）番号/コードの所有者。,
298,2,Attribute,,Serial Lot,Next Serial Lot Number,xbrli:stringItemType,,0..1,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",gl-ehm,,,gl-ehm:nextSerialLotNumber,次のシリアルロット番号,将来の割り当てに与えられる次の予想されるシリアル番号またはロット番号を保持するためのフィールド、またはすでに割り当てられたアイテム間のチェーンのためのフィールド。,
299,2,Attribute,,Serial Lot,Serial Lot Quantity,xbrli:stringItemType,,0..1,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,gl-ehm,,,gl-ehm:serialLotQuantity,シリアルロット数量,この特定のバッチのユニット数。測定単位はgl-bus：measurableUnitofMeasureです。,
300,2,Attribute,,Serial Lot,Serial Lot Original Quantity,xbrli:stringItemType,,0..1,The quantity of units in this batch on inception.,gl-ehm,,,gl-ehm:serialLotOriginalQuantity,シリアルロット元の数量,開始時のこのバッチのユニット数。,
301,2,Attribute,,Serial Lot,Serial Lot Remaining Quantity,xbrli:stringItemType,,0..1,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,gl-ehm,,,gl-ehm:serialLotRemainingQuantity,シリアルロット残量,元のバッチの残りのユニット数。このバッチの数量と同じであるか、同じ元のバッチの他のバッチが含まれている可能性があります。,
302,2,Attribute,,Serial Lot,Serial Lot Origination,xbrli:stringItemType,,0..1,Date of manufacture or creation.,gl-ehm,,,gl-ehm:serialLotOrigination,シリアルロットオリジネーション,製造日または作成日。,
303,2,Attribute,,Serial Lot,Serial Lot Expiration,xbrli:stringItemType,,0..1,Expiration date of the batch.,gl-ehm,,,gl-ehm:serialLotExpiration,シリアルロットの有効期限,バッチの有効期限。,
304,2,Attribute,,Serial Lot,Serial Lot Manufacturer,xbrli:stringItemType,,0..1,Manufacturer of the item (serial) or items (lot/batch).,gl-ehm,,,gl-ehm:serialLotManufacturer,シリアルロットメーカー,アイテム（シリアル）またはアイテム（ロット/バッチ）のメーカー。,
305,2,Attribute,,Serial Lot,Serial Lot Batch Description,xbrli:stringItemType,,0..1,A name or description of the items in the lot or batch.,gl-ehm,,,gl-ehm:serialLotBatchDescription,シリアルロットバッチの説明,ロットまたはバッチ内のアイテムの名前または説明。,
306,2,Attribute,,Serial Lot,Serial Lot Warranty Start Date,xbrli:stringItemType,,0..1,"If the items are covered by warranty, when that warranty covered will begin or has begun.",gl-ehm,,,gl-ehm:serialLotWarrantyStartDate,シリアルロット保証開始日,アイテムが保証の対象である場合、その保証の対象となる時期が開始または開始されます。,
307,2,Attribute,,Serial Lot,Serial Lot Warranty End Date,xbrli:stringItemType,,0..1,"If the items are covered by warranty, when that warranty covered will end or ended.",gl-ehm,,,gl-ehm:serialLotWarrantyEndDate,シリアルロット保証終了日,アイテムが保証の対象である場合、その保証の対象となる時期は終了または終了します。,
308,2,Attribute,,Serial Lot,Serial Lot Warranty Period,xbrli:stringItemType,,0..1,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",gl-ehm,,,gl-ehm:serialLotWarrantyPeriod,シリアルロット保証期間,保証期間–数値部分。 30日間の保証期間の場合、30はここに移動し、その日はgl-ehm：serialLotWarrantyPeriodUnitに移動します。,
309,2,Attribute,,Serial Lot,Serial Lot Warranty Period Unit,xbrli:stringItemType,,0..1,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",gl-ehm,,,gl-ehm:serialLotWarrantyPeriodUnit,シリアルロット保証期間単位,保証期間–時間またはサイクル単位の部分。可能な場合は、XBRLユニットレジストリ（www.xbrl.org/utr/utr.xml）の値が推奨されます。例としては、H（時間）、D（日）、M（月）、Y（年）、マシンサイクル、km（キロメートル）などがあります。,
310,2,Attribute,,Serial Lot,Serial Lot Warranty Vendor,xbrli:stringItemType,,0..1,The vendor providing warranty; this may differ from the manufacturer.,gl-ehm,,,gl-ehm:serialLotWarrantyVendor,シリアルロット保証ベンダー,保証を提供するベンダー。これはメーカーとは異なる場合があります。,
311,2,Attribute,,Serial Lot,Serial Lot Warranty Contract,xbrli:stringItemType,,0..1,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",gl-ehm,,,gl-ehm:serialLotWarrantyContract,シリアルロット保証契約,契約番号と日付、または詳細情報を含むURLなど、保証に関連する契約または文書情報。,
312,2,Attribute,,Serial Lot,Serial Lot Comment,xbrli:stringItemType,,0..1,Free format text related to the serial number or lot.,gl-ehm,,,gl-ehm:serialLotComment,シリアルロットコメント,シリアル番号またはロットに関連するフリーフォーマットのテキスト。,
313,1,Class,,Parent Subaccount,,,,,Tuple for showing the detail necessary to roll up from one segment (type of subaccount) to another.),gl-cor,,,gl-cor:segmentParentTuple,【親セグメント情報】,セグメント（小勘定科目の種別）間のロールアップ時に必要な詳細情報を示すタプル。,
314,2,Attribute,,Parent Subaccount,Parent Subaccount Code,xbrli:stringItemType,,0..1,Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.,gl-cor,,,gl-cor:parentSubaccountCode,親サブ科目コード,この小勘定科目のロールアップ先の小勘定科目の番号-ロールアップ先の小勘定科目の種別も参照。,
315,2,Attribute,,Parent Subaccount,Parent Subaccount Type,xbrli:stringItemType,,0..1,The describer of the segment this subaccount rolls up to.,gl-cor,,,gl-cor:parentSubaccountType,親サブ科目種別,この小勘定科目のロールアップ先のセグメントの説明。,
316,2,Attribute,,Parent Subaccount,Reporting Tree Identifier,xbrli:stringItemType,,0..1,Used for representing descriptions of reporting trees.,gl-cor,,,gl-cor:reportingTreeIdentifier,報告系統識別子,報告系統の説明に使用される。,
317,2,Attribute,,Parent Subaccount,Parent Subaccount Percentage,xbrli:stringItemType,,0..1,"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent.",gl-cor,,,gl-cor:parentSubaccountProportion,親サブ科目配分パーセンテージ,異なる親科目に配分する場合に、親科目に割り当てるパーセンテージ。,
318,1,Class,,Subaccount,,,,,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,,gl-cor:accountSub,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,
319,2,Attribute,,Subaccount,Subaccount Description,xbrli:stringItemType,,0..1,The description that accompanies accountSubID belongs here.,gl-cor,,,gl-cor:accountSubDescription,サブ科目説明,accountSubIDに関する説明。,
320,2,Attribute,,Subaccount,Subaccount,xbrli:stringItemType,,0..1,"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here.",gl-cor,,,gl-cor:accountSubID,サブ科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。,
321,2,Attribute,,Subaccount,Type of Subaccount,xbrli:stringItemType,,0..1,"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example:: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit",gl-cor,,,gl-cor:accountSubType,サブ科目種別,小勘定科目の種別。プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子がここに配置される。 例えば、責任単位、事業単位、クラス、部、プロジェクト、基金、プログラム、ジョブ、プロフィットセンター、支店、セットアップクラス、部門、ユニット\n,
322,2,Composition,,Subaccount,,,Parent Subaccount,0..1,Tuple for showing the detail necessary to roll up from one segment (type of subaccount) to another.),gl-cor,,,,【親セグメント情報】,セグメント（小勘定科目の種別）間のロールアップ時に必要な詳細情報を示すタプル。,
323,1,Class,,Tax Details,,,,,Tuple for holding tax related information,gl-cor,,,gl-cor:taxes,【税情報】,税関連の情報のタプル。,
324,2,Attribute,,Tax Details,Tax Authority,xbrli:stringItemType,,0..1,Name of the relevant tax authority,gl-cor,,,gl-cor:taxAuthority,課税庁,関係する課税庁の名前。,
325,2,Attribute,,Tax Details,Tax Table Code,xbrli:stringItemType,,0..1,Tax table code used by the relevant tax authority,gl-cor,,,gl-cor:taxTableCode,税率表コード,関係する課税庁で使用される税率表のコード。,
326,2,Attribute,,Tax Details,Tax Description,xbrli:stringItemType,,0..1,Description of tax authority,gl-cor,,,gl-cor:taxDescription,課税庁説明,課税庁の説明。,
327,2,Attribute,,Tax Details,Amount of Taxes,xbrli:stringItemType,,0..1,Amount of taxes,gl-cor,,,gl-cor:taxAmount,税額,税額。,
328,2,Attribute,,Tax Details,Basis for Taxation,xbrli:stringItemType,,0..1,Basis for taxation,gl-cor,,,gl-cor:taxBasis,課税基準,課税基準。,
329,2,Attribute,,Tax Details,Tax Exchange Rate,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",gl-cor,,,gl-cor:taxExchangeRate,[非推奨] 税額換算用レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,
330,2,Attribute,,Tax Details,Tax Percentage Rate,xbrli:stringItemType,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,,,gl-cor:taxPercentageRate,税率,VAT(物品税)またはその他の税のパーセント比率。0から1.0の間の値。たとえば50%は0.5とあらわす。,
331,2,Attribute,,Tax Details,Tax Category,xbrli:stringItemType,,0..1,A class or category of taxes,gl-cor,,,gl-cor:taxCode,税区分,税のクラス又はカテゴリ。,
332,2,Attribute,,Tax Details,Tax Comment/Exemption Reason,xbrli:stringItemType,,0..1,Additional text/code for exemption reasons or other comments.,gl-cor,,,gl-cor:taxCommentExemption,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,
333,2,Attribute,,Tax Details,Tax Amount in Foreign Currency,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, the amount of tax in that currency",gl-muc,,,gl-muc:taxAmountForeignCurrency,外貨建税額,税が外貨建ての場合の、税額。,
334,2,Attribute,,Tax Details,Tax Foreign Currency,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, that currency",gl-muc,,,gl-muc:taxCurrency,外貨建税額通貨,税が外貨建ての場合の、通貨。,
335,2,Attribute,,Tax Details,Tax Exchange Rate Date,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",gl-muc,,,gl-muc:taxExchangeRateDate,税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。,
336,2,Attribute,,Tax Details,Tax Exchange Rate Item Type,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",gl-muc,,,gl-muc:taxExchangeRate,税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,
337,2,Attribute,,Tax Details,Tax Exchange Rate Source,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, source of exchange rate - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:taxExchangeRateSource,税額換算レート情報源,"税が外貨建ての場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",
338,2,Attribute,,Tax Details,Tax Exchange Rate Type,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, type of exchange rate - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:taxExchangeRateType,税額換算レート種別,税が外貨建ての場合の、換算レートの種別。たとえば、スポット・レート、先物など。,
339,2,Attribute,,Tax Details,Tax Exchange Rate Comment,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, comment about exchange rate used",gl-muc,,,gl-muc:taxExchangeRateComment,税額換算レートコメント,税が外貨建ての場合の、換算レートに関するコメント。,
340,2,Attribute,,Tax Details,Tax Amount in Triangulation Currency,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, the amount of that tax in the triangulation currency",gl-muc,,,gl-muc:taxAmountTriangulationCurrency,税額トライアンギュレーション通貨換算額,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨での税額。,
341,2,Attribute,,Tax Details,Tax Triangulation Currency,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, the triangulation currency",gl-muc,,,gl-muc:taxTriangulationCurrency,税額換算トライアンギュレーション通貨,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨。,
342,2,Attribute,,Tax Details,Tax Triangulation Currency Exchange Rate,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, the exchange rate used expressed as national currency divided by triangulation currency",gl-muc,,,gl-muc:taxTriangulationExchangeRate,税額トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。自国通貨をトライアンギュレーション通貨で割った値。,
343,2,Attribute,,Tax Details,Tax Triangulation Currency Exchange Rate Source,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:taxTriangulationExchangeRateSource,税額トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg\n",
344,2,Attribute,,Tax Details,Tax Triangulation Currency Exchange Rate Type,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:taxTriangulationExchangeRateType,税額トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など\n,
345,2,Attribute,,Tax Details,Tax Foreign to Triangulation Currency Exchange Rate,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used,  the exchange rate used expressed as foreign currency divided by triangulation currency",gl-muc,,,gl-muc:taxForeignTriangulationExchangeRate,税額外貨トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。外貨をトライアンギュレーション通貨で割った値。,
346,2,Attribute,,Tax Details,Tax Foreign to Triangulation Currency Exchange Rate Source,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:taxForeignTriangulationExchangeRateSource,税額外貨トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",
347,2,Attribute,,Tax Details,Tax Foreign to Triangulation Currency Exchange Rate Type,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:taxForeignTriangulationExchangeRateType,税額外貨トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など。,
348,1,Class,,Web Site,,,,,Primary web site of the entity.,gl-bus,,,gl-bus:entityWebSite,【事業体Webサイト】,事業体の代表ウェブサイト。,
349,2,Attribute,,Web Site,Web Site Description,xbrli:stringItemType,,0..1,Description of the web site.,gl-bus,,,gl-bus:webSiteDescription,Webサイト説明,ウェブサイトの説明。,
350,2,Attribute,,Web Site,Web Site URL,xbrli:stringItemType,,0..1,Valid URL of the web site. Should be full URL.,gl-bus,,,gl-bus:webSiteURL,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,
351,1,Class,,XBRL Information,,,,,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,,,gl-cor:xbrlInfo,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,
352,2,Attribute,,XBRL Information,XBRL Allocation,xbrli:stringItemType,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",gl-cor,,,gl-cor:xbrlInclude,XBRL割当,与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。\n[設定値のリスト]\n(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減),
353,2,Attribute,,XBRL Information,Summary Reporting Element,xbrli:stringItemType,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,gl-cor,,,gl-cor:summaryReportingElement,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。,
354,2,Attribute,,XBRL Information,Detail Matching Element,xbrli:stringItemType,,0..1,Associated XBRL element in XBRL-GL instance.,gl-cor,,,gl-cor:detailMatchingElement,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。,
