sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AG,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,
240,明細部,UN01005581,BBIE,,,,,,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,（明細行参照）文書URL_ID,この明細行が参照する文書が所在するURL_ID,0..1,,v4.3, , ,  ,  ,＊,＊,＊,（※）,,,,,,,,,,,,,,,,,,,,,,,,,
241,明細部,UN01005582,BBIE,,,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,（明細行参照）文書発行日,この明細行が参照する文書に記載の発行日付,0..1,,v4.3,日時様式 ISO8601,ISO, ,YYYY-MM-DD,●,●,●,※,,,,,,,,,,,,,,,,,,,,,,,,,
242,明細部,UN01005585,BBIE,,,,,,,,,,CI_ Referenced_ Document. Line. Identifier,,,,,（明細行参照）文書明細行ID,この明細行が参照する文書に記載の文書明細行ID。,1..1,,v4, , ,,     ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
243,明細部,UN01005588,BBIE,,,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（明細行参照）文書履歴ID,この明細行が参照する文書の変更履歴を管理するID。,0..1,,v4,  ,  , , ,▼,▼,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
244,明細部,UN01005589,BBIE,,,,,,,,,,CI_ Referenced_ Document. Name. Text,,,,,（明細行参照）文書名,この明細行が参照する文書の名称,0..1,,v4.3,"言語コード
ISO639",ISO,  ,  ,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
245,明細部,UN01006415,BBIE,,,,,,,,,,CI_ Referenced_ Document. Information. Text,,,,,（明細行参照）文書情報,この明細行が参照する文書に記載の情報,0..n,,v4.3,"言語コード
ISO639",ISO,  ,  ,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
246,明細部,UN01009672,BBIE,,,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,（明細行参照）文書タイプコード,この明細行が参照する文書の文書タイプを識別するコード。,0..1,220,v4,UNCL1001,UN/CEFACT,"
コード値
選択入力
",ユーザー選択指定,＊,＊,＊,,★,,IBT-189,? ?  Document type code,0..1,,,,,,,,,,,,,,,,,,,,
247,明細部,UN01009672,BBIE,,,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,（明細行参照）文書類型コード,この明細行が参照する文書の類型タイプを識別するコード。,0..1,703,v4,JECxxxx,JEC,"
コード値
選択入力
",ユーザー選択指定,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
248,明細部,UN01014899,BBIE,,,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,（明細行参照）文書サブタイプコード,この明細行が参照する文書の文書サブタイプを識別するコード。,0..1,,v4,JECxxxx,JEC,"
コード値
選択入力
",ユーザー選択指定,＊,＊,＊,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
249,明細部,UN01009658,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,,,,,,,明細行契約／契約単価グループ,明細行の契約単価に関するグループ。,1..1,,v1, , ,,     ,,○,○,,☆ ,,IBG-29,?  PRICE DETAILS,1..1,,,,,,,,,,,,,,,,,,,,
250,明細部,UN01005790,ABIE,,,,,,,,,CI_ Trade_ Price. Details,,,,,,契約単価クラス,明細行の契約単価に関する情報からなるクラス。,－,,v1, , ,,     ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
251,明細部,UN01005792,BBIE,,,,,,,,,,CI_ Trade_ Price. Charge. Amount,,,,,契約単価,"発注者と受注者が合意した明細発注品の単価。単価基準数量と単価基準数量単位の指定に従う。
税込み、税抜きの識別はヘッダ部の「UN01013096：税計算方式」で指定（指定がない場合（デフォルト）は税抜き）。",1..1,50000,v1/v3,"通貨コード
ISO4217",ISO,"属性コード値
選択入力","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",,○,○,,☆,1,IBT-146,? ?  Item net price,1..1,,,,,,,,,,,,,,,,,,,,
252,明細部,UN01009650,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Delivery,,,,,,,,,明細行／配送グループ,明細行の配送に関するグループ,1..1,,v1, , ,,     ,,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
253,明細部,UN01009659,ABIE,,,,,,,CIILB_ Supply Chain_ Trade Delivery. Details,,,,,,,,明細行納入クラス,明細行の納入に関する情報からなるクラス,-,,v1, , ,,     ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
254,明細部,UN01014639,BBIE,,,,,,,,CIILB_ Supply Chain_ Trade Delivery. Billed. Quantity,,,,,,,配送数量,"この情報項目は取引数量の指定に利用する。
この項目の属性として数量単位コードを指定することにより、ずべての品目の取引数量指定に利用できる。
流通業の定貫品目取引では、この項目は利用せず「セット数量」または「バラ数量」を利用する。",1..1,5,v1,"数量単位コード
UNECERec20",UNECE,"属性コード値
選択入力","数量/@数量単位コード値
デフォルト
＝H87（個）",,○,○,,☆,1,IBT-129,?  Invoiced quantity,1..1,,,,,,,,,,,,,,,,,,,,
255,明細部,UN01009651,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Settlement,,,,,,,,,明細行／決裁グループ,明細行の決済に関するグループ,1..1,,v1, , , , ,＊,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
256,明細部,UN01009664,ABIE,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Details,,,,,,,,明細行決裁クラス,明細行の決済入に関する情報からなるクラス,-,,v1, , , , ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
257,明細部,UN01014641,BBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Direction. Code,,,,,,,明細行取引方向コード,"明細行の取引方向を識別するコード
デフォルトは「プラス」
明細行取引類型コードが「調整」を指定場合に利用する。
金額の「プラス」「マイナス」表示を許容する場合は実装しない。",0..1,,v４,JECxxxx,JEC, , ,＊,＊,＊,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
258,明細部,UN01009665,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,明細行決済／明細行税グループ,明細行決済の税に関するグループ,1..1,,v1, , ,,     ,＊,○,○,,☆,,IBG-30,?  LINE TAX INFORMATION,1..n,,,,,,,,,,,,,,,,,,,,
259,明細部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細行税クラス,明細行の税に関する情報に関するクラス,-,,v1, , ,,     ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
260,明細部,UN01005839,BBIE,,,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,明細行取引金額（税抜き）,"この明細行の税抜き取引金額（契約単価×配送数量）
契約単価×数量で指定できない場合は金額",0..1,250000,v2,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,○,,※,☆,1,IBT-131,?  Invoice line net amount,1..1,,,,,,,,,,,,,,,,,,,,
261,明細部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細行課税分類コード,この明細行の消費税の課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード,1..1,S,v1/v2,UNCL5305,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",＊,＊,,,★,1,IBT-151,? ?  Invoiced item TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
262,明細部,UN01005850,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category Name. Text,,,,,明細行課税分類名,"消費税の課税分類（標準税率、軽減税率、不課税、非課税、免税等）の名称
または軽減税率表示※など",0..1,,v2,"言語コード
ISO639",ISO,,     ,＊,◎,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
263,明細部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細行税率,"この明細行の税率。
2014年度税制の場合は、明細行課税分類コードと組み合わせて利用する。",0..1,10,v1/v2, , ,,     ,＊,＊,,※,★,,IBT-152,? ?  Invoiced item TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
264,明細部,UN01013040,BBIE,,,,,,,,,,CI_ Trade_ Tax. Grand Total. Amount,,,,,明細行取引金額(税込み),この明細行の税額を含む取引金額（税込み）,0..1,,v2,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,□,,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
265,明細部,UN01014643,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,明細行決済／調整（調整差額調整）グループ,明細行決済の調整（修正差額調整）に関するグループ,0..n,,v4.3, , , , ,▼,,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
266,明細部,UN01005487,ABIE,,,,,,,,,CI_ Financial_ Adjustment. Details,,,,,,明細行調整クラス,明細行の調整に関する情報からなるクラス,－,,v4.3, , , , ,　,,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
267,明細部,UN01005488,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,明細行調整理由コード（修正差額調整）,"この明細行の調整理由を示す識別コード
'=62(修正差額調整)",0..1,,v4.3,UNCL4465,UN/CEFACT,"属性コード値
固定入力",=62,▼,,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
268,明細部,UN01005489,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,明細行調整理由,この明細行の調整理由を文字で表現した内容,0..1,,v4.3,"言語コード
ISO639",ISO,, ,▼,,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
269,明細部,UN01005490,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,明細行調整金額,"この明細行の調整金額
＜調整理由コード＝62＞
'=修正差額調整金額",0..1,,v4.3,"通貨コード
ISO4217",ISO, , ,▼,,▼,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
270,明細部,UN01014897,ASBIE,,,,,,,,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,,,,,明細行調整／調整税グループ,調整明細行の税率別税クラスに関するグループ,0..1,,v4.3, ,    , , ,▼,,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
271,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行調整税クラス,調整明細行の税率別税クラス,－,,v4.3, ,    , , , ,, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
272,明細部,UN01005836,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,明細行調整税率,調整明細行の税率,0..1,,v4.3, ,    , , ,▼,,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
273,明細部,UN01005841,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,明細行調整課税分類コード,調整明細行の課税分類コード,0..1,,v4.3,UNCL5305,UN/CEFACT,"コード値
選択入力", ,▼,,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
274,明細部,UN01014643,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,明細行決済／調整グループ,明細行決済の調整に関するグループ,0..n,,v4.3, , , , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
275,明細部,UN01005487,ABIE,,,,,,,,,CI_ Financial_ Adjustment. Details,,,,,,明細行調整(源泉t所得税)クラス,明細行の調整（源泉所得税）に関する情報からなるクラス,－,,v4.3, , , , ,　,,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
276,明細部,UN01005488,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,明細行調整理由コード(源泉所得税),"この明細行の調整理由を示す識別コード
'=26(源泉所得税)",0..1,,v4.3,UNCL4465,UN/CEFACT,"属性コード値
固定入力",=26,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
277,明細部,UN01005489,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,明細行調整理由,この明細行の調整理由を文字で表現した内容,0..1,,v4.3,"言語コード
ISO639",ISO, , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
278,明細部,UN01005490,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,明細行調整金額,"この明細行の調整金額（鑑ヘッダ調整金額で相殺処理）
＜調整理由コード＝26＞
'=源泉所得税",0..1,,v4.3,"通貨コード
ISO4217",ISO, , ,■,,■,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
279,明細部,UN01014897,ASBIE,,,,,,,,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,,,,,明細行調整／調整税グループ,調整明細行の税率別税クラスに関するグループ,0..1,,v4.3, ,    , , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
280,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行調整税クラス,調整明細行の税率別税クラス,－,,v4.3, ,    , , , ,, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
281,明細部,UN01005834,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Type. Code,,,明細行調整税タイプコード,"税の種類を識別するコード
'=IND(源泉所得税 )",0..1,,v4.3,UNCL5153,UN/CEFACT,"コード値
固定入力",=IND,■,,■,,,,,,,,,,,,,,,,,,,,,,,,,,
282,明細部,UN01005836,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,明細行調整税率,調整明細行の税率,0..1,,v4.3, ,    , , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
283,明細部,UN01014643,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,明細行決済／調整グループ,明細行決済の調整に関するグループ,0..n,,v4.3, , , , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
284,明細部,UN01005487,ABIE,,,,,,,,,CI_ Financial_ Adjustment. Details,,,,,,明細行調整クラス,明細行の調整に関する情報からなるクラス,－,,v4.3, , , , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
285,明細部,UN01005488,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,明細行調整理由コード,"この明細行の調整理由を示す識別コード
'=30の場合（入金）",0..1,,v4.3,UNCL4465,UN/CEFACT,"属性コード値
選択入力",,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
286,明細部,UN01005489,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,明細行調整理由,この明細行の調整理由を文字で表現した内容,0..1,,v4.3,"言語コード
ISO639",ISO, , ,■,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
287,明細部,UN01005490,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,明細行調整金額,"この明細行の調整金額
＜明細行調整理由コード＝30の場合＞
'=入金",0..1,,v4.3,"通貨コード
ISO4217",ISO, , ,■,,■,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
288,明細部,UN01014644,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,明細行決裁／返金グループ,明細行の返金に関するグループ,0..n,,v4, , , , ,,＊,　,,★ ,,IBG-27,?  INVOICE LINE ALLOWANCES,0..n,,,,,,,,,,,,,,,,,,,,
289,明細部,UN01005706,ABIE,,,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,明細行返金クラス,明細行返金のクラス,－,,v4, , , , ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
290,明細部,UN01005707,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,"明細行返金・追加請求判別子
    =返金（Allowance）","明細行返金・追加請求判別子
    =false (Allowance）",1..1,FALSE,v4,JECxxxx,JEC,"判別子
固定入力",FALSE,,●,　,, ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
291,明細部,UN01005713,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,明細行返金金額,明細行に紐付く返金金額,0..1,-1500,v4,"通貨コード
ISO4217",ISO, , ,,＊,　,,★,,IBT-136,? ?  Invoice line allowance amount,1..1,,,,,,,,,,,,,,,,,,,,
292,明細部,UN01005714,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,明細行返金理由コード,明細行返金理由コード,0..1,,v4,UNCL5189,UN/CEFACT, , ,,＊,　,,★,,IBT-140,? ?  Invoice line allowance reason code,0..1,,,,,,,,,,,,,,,,,,,,
293,明細部,UN01005715,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,明細行返金理由,明細行返金理由,0..1,値引き,v4,"言語コード
ISO639",ISO, , ,,＊,　,,★,,IBT-139,? ?  Invoice line allowance reason,0..1,,,,,,,,,,,,,,,,,,,,
294,明細部,UN01005716,ASBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,明細行返金／明細行返金税グループ,明細行返金の税に関するグループ,0..n,,v4, , , , ,,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
295,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行返金税クラス,明細行返金の税クラス,－,,v4, , , , ,,＊, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
296,明細部,UN01005841,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,明細行返金課税分類コード,明細行返金の課税分類コード,1..1,,v4,UNCL5305,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",,＊,　,,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
297,明細部,UN01007174,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,明細行返金税率,明細行返金の税率,0..1,,v4, , , , ,,＊,　,,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
298,明細部,UN01014644,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,明細行決裁／追加請求グループ,明細行決裁／追加請求グループ,0..n,,v4.1,　,　, , ,,＊,　,,★ ,,IBG-28,?  INVOICE LINE CHARGES,0..n,,,,,,,,,,,,,,,,,,,,
299,明細部,UN01005706,ABIE,,,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,明細行追加請求クラス,明細行追加請求クラス,－,,v4.1,　,　, , ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
300,明細部,UN01005707,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,"明細行返金・追加請求判別子
    =追加請求（Charge）","明細行返金・追加請求判別子
    =True (Charge)",1..1,TRUE,v4.1,JECxxxx,JEC,"判別子
固定入力",TRUE,,●,　,, ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
301,明細部,UN01005713,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,明細行追加請求金額,この明細行に紐付く追加請求金額。,0..1,1500,v4.1,"通貨コード
ISO4217",ISO, , ,,＊,　,,★,,IBT-141,? ?  Invoice line charge amount,1..1,,,,,,,,,,,,,,,,,,,,
302,明細部,UN01005714,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,明細行追加請求理由コード,この明細行の追加請求理由を識別するコード,0..1,,v4.1,UNCL5189,UN/CEFACT, , ,,＊,　,,★,,IBT-145,? ?  Invoice line charge reason code,0..1,,,,,,,,,,,,,,,,,,,,
303,明細部,UN01005715,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,明細行追加請求理由,この明細行の追加請求理由（内容）の説明,0..1,クリーニング,v4.1,"言語コード
ISO639",ISO, , ,,＊,　,,★,,IBT-144,? ?  Invoice line charge reason,0..1,,,,,,,,,,,,,,,,,,,,
304,明細部,UN01005716,ASBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,明細行追加請求／明細行追加請求税グループ,明細行追加請求の税に関するグループ,0..n,,v4, , , , ,,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
305,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行追加請求税クラス,明細行追加請求の税クラス,－,,v4, , , , ,,＊, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
306,明細部,UN01005841,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,明細行追加請求課税分類コード,明細行追加請求の課税分類コード,1..1,,v4,UNCL5305,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",,＊,　,,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
307,明細部,UN01007174,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,明細行追加請求税率,明細行追加請求の税率,0..1,,v4, , , , ,,＊,　,,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
308,明細部,UN01014894,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,,,,,,,明細行／取引期間グループ　,"明細行の取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",1..1,,v4, , ,,     ,＊,○,○,,★,,IBG-26,?  INVOICE LINE PERIOD,0..1,,,,,,,,,,,,,,,,,,,,
309,明細部,UN01005608,ABIE,,,,,,,,,CI_ Specified_ Period. Details,,,,,,明細行取引期間クラス,明細行の取引期間に関する情報からなるクラス,－,,v4, , ,,     ,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
310,明細部,UN01005612,BBIE,,,,,,,,,,CI_ Specified_ Period. Start. Date Time,,,,,明細行取引開始日,この明細行の取引開始日,0..1,45217,v4,日時様式 ISO8601,ISO,,     ,＊,＊,＊,,★,,IBT-134,? ?  Invoice line period start date,0..1,,,,,,,,,,,,,,,,,,,,
311,明細部,UN01005613,BBIE,,,,,,,,,,CI_ Specified_ Period. End. Date Time,,,,,明細行取引終了日,この明細行の取引終了日,0..1,45217,v4,日時様式 ISO8601,ISO,,YYYY-MM-DD,＊,◎,＊,※,★,1,IBT-135,? ?  Invoice line period end date,0..1,,,,,,,,,,,,,,,,,,,,
312,明細部,JPSxxxxxxxx,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,,,,,,,明細行／会計アカウントグループ,この明細行の会計アカウントに関するグループ,0..1,,v4.3,　,　,,　,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
313,ヘッダ部,UN01005680,ABIE,,,,,,,,,CI_ Trade_ Accounting Account. Details,,,,,,会計アカウントクラス,会計アカウントに関するクラス,－,,v4.3,  ,  ,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
314,明細部,UN01005681,BBIE,,,,,,,,,,CI_ Trade_ Accounting Account. Identification. Identifier,,,,,明細行会計アカウントID,明細行会計アカウントのID,1..1,,v4.3,,,,,▽,▽,▽,※,★,,IBT-133,？？Invoice line Buyer accounting reference,0..1,,,,,,,,,,,,,,,,,,,,
315,明細部,UN01005683,BBIE,,,,,,,,,,CI_ Trade_ Accounting Account. Type. Code,,,,,明細行会計アカウントタイプコード,明細行会計アカウントのタイプコード,0..1,,v4.3,,,,  ,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
316,明細部,UN01005685,BBIE,,,,,,,,,,CI_ Trade_ Accounting Account. Name. Text,,,,,明細行会計アカウント名,明細行会計アカウントの名称,0..1,,v4.3,  ,  ,,  ,▽,▽,▽,,,,,,,,,,,,,,,,,,,,,,,,,,
317,明細部,UN01010016,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,,,,,,,,,明細行／取引品目グループ,明細行の取引品目に関するグループ,1..1,,v1, , ,,     ,＊,○,○,, ☆,,IBG-31,?  ITEM INFORMATION,1..1,,,,,,,,,,,,,,,,,,,,
318,明細部,UN01005809,ABIE,,,,,,,CI_ Trade_ Product. Details,,,,,,,,取引品目クラス,取引品目に関する情報からなるクラス。, -,,v1, , ,,     ,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
319,明細部,UN01005810,BBIE,,,,,,,,CI_ Trade_ Product. Identification. Identifier,,,,,,,品目ID,品目名を特定するために付与したID,0..1,"b-13214
97iugug876
0160:4503994155481",v1, , ,,     ,＊,＊,＊,,★,,"IBT-155
IBT-156","? ?  Item Buyer's identifier
? ?  Item Buyer's identifier","0..1
0..1",,,,,,,,,,,,,,,,,,,,
320,明細部,UN01005815,BBIE,,,,,,,,CI_ Trade_ Product. Name. Text,,,,,,,品目名,この取引品目の名称。,1..1,デスクチェア,v1,"言語コード
ISO639",ISO,,     ,＊,◎,○,※,☆,1,IBT-153,? ?  Item name,1..1,,,,,,,,,,,,,,,,,,,,
321,明細部,UN01005817,BBIE,,,,,,,,CI_ Trade_ Product. Description. Text,,,,,,,品目摘要,この取引品目内容を文字で説明したもの,0..1,,v1,"言語コード
ISO639",ISO,,     ,＊,●,●,,★,,IBT-154,? ?  Item description,0..1,,,,,,,,,,,,,,,,,,,,
322,,,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
