sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
762,2,Composition,,Trade Settlement_ Payment Means,Payee_ Specified,,Creditor_ Financial Institution,0..1,The creditor financial institution of the payee party specified for this trade settlement payment means.,ASBIE,Trade Settlement_ Payment Means. Payee_ Specified. Creditor_ Financial Institution,January 2017
763,1,Class,,Trade_ Accounting Account,,,,,"A specific trade account for recording debits and credits to general accounting, cost accounting or budget accounting.",ABIE,Trade_ Accounting Account. Details,January 2017
764,2,Attribute,,Trade_ Accounting Account,Identification,Identifier,,1..1,The unique identifier for this trade accounting account.,BBIE,Trade_ Accounting Account. Identification. Identifier,January 2017
765,2,Attribute,,Trade_ Accounting Account,Set Trigger,Code,,0..1,A code specifying a set trigger for this trade accounting account to be used in response to a specific event or a set of events.,BBIE,Trade_ Accounting Account. Set Trigger. Code,January 2017
766,2,Attribute,,Trade_ Accounting Account,Type,Code,,0..1,"The code specifying the type of trade accounting account, such as general (main), secondary, cost accounting or budget account.",BBIE,Trade_ Accounting Account. Type. Code,January 2017
767,2,Attribute,,Trade_ Accounting Account,Amount Type,Code,,0..1,The code specifying the amount type for this trade accounting account.,BBIE,Trade_ Accounting Account. Amount Type. Code,January 2017
768,2,Attribute,,Trade_ Accounting Account,Name,Text,,0..1,"The name, expressed as text, of this trade accounting account.",BBIE,Trade_ Accounting Account. Name. Text,January 2017
769,2,Attribute,,Trade_ Accounting Account,Cost Reference Dimension Pattern,Text,,0..1,"The cost reference dimension pattern, expressed as text, for this trade accounting account.",BBIE,Trade_ Accounting Account. Cost Reference Dimension Pattern. Text,January 2017
770,1,Class,,Trade_ Address,,,,,The location at which a particular trade related organization or person may be found or reached.,ABIE,Trade_ Address. Details,January 2017
771,2,Attribute,,Trade_ Address,Identification,Identifier,,0..1,A unique identifier for this trade address.,BBIE,Trade_ Address. Identification. Identifier,January 2017
772,2,Attribute,,Trade_ Address,Postcode,Code,,0..1,A code specifying the postcode of this trade address.,BBIE,Trade_ Address. Postcode. Code,January 2017
773,2,Attribute,,Trade_ Address,Post Office Box,Text,,0..1,"The unique identifier, expressed as text, of a container commonly referred to as a box, in a post office or other postal service location, assigned to a person or organization, where postal items may be kept for this trade address.",BBIE,Trade_ Address. Post Office Box. Text,January 2017
774,2,Attribute,,Trade_ Address,Building Name,Text,,0..1,"The name, expressed as text, of a building, a house or other structure on a street at this trade address.",BBIE,Trade_ Address. Building Name. Text,January 2017
775,2,Attribute,,Trade_ Address,Line One,Text,,0..1,"The first free form line, expressed as text, of this trade address.",BBIE,Trade_ Address. Line One. Text,January 2017
776,2,Attribute,,Trade_ Address,Line Two,Text,,0..1,"The second free form line, expressed as text, of this trade address.",BBIE,Trade_ Address. Line Two. Text,January 2017
777,2,Attribute,,Trade_ Address,Line Three,Text,,0..1,"The third free form line, expressed as text, of this trade address.",BBIE,Trade_ Address. Line Three. Text,January 2017
778,2,Attribute,,Trade_ Address,Line Four,Text,,0..1,"The fourth free form line, expressed as text, of this trade address.",BBIE,Trade_ Address. Line Four. Text,January 2017
779,2,Attribute,,Trade_ Address,Line Five,Text,,0..1,"The fifth free form line, expressed as text, of this trade address.",BBIE,Trade_ Address. Line Five. Text,January 2017
780,2,Attribute,,Trade_ Address,Street Name,Text,,0..1,"A name, expressed as text, of a street or thoroughfare for this trade address.",BBIE,Trade_ Address. Street Name. Text,January 2017
781,2,Attribute,,Trade_ Address,City Name,Text,,0..1,"The name, expressed as text, of the city, town or village of this trade address.",BBIE,Trade_ Address. City Name. Text,January 2017
782,2,Attribute,,Trade_ Address,City Sub- Division Name,Text,,0..1,"A name, expressed as text, of a sub-division of a city for this trade address, for example a district or borough.",BBIE,Trade_ Address. City Sub- Division Name. Text,January 2017
783,2,Attribute,,Trade_ Address,Country,Identifier,,0..1,The unique identifier of a country for this trade address.,BBIE,Trade_ Address. Country. Identifier,January 2017
784,2,Attribute,,Trade_ Address,Country Name,Text,,0..n,"A name, expressed as text, of the country for this trade address.",BBIE,Trade_ Address. Country Name. Text,January 2017
785,2,Attribute,,Trade_ Address,Country Sub-Division,Identifier,,0..1,A unique identifier of the country sub-division for this trade address.,BBIE,Trade_ Address. Country Sub-Division. Identifier,January 2017
786,2,Attribute,,Trade_ Address,Country Sub-Division Name,Text,,0..n,"A name, expressed as text, of the sub-division of a country for this trade address.",BBIE,Trade_ Address. Country Sub-Division Name. Text,January 2017
787,2,Attribute,,Trade_ Address,Attention Of,Text,,0..1,"The name, expressed as text, of a person or department in the organization to whom incoming mail is marked with words such as 'for the attention of' or 'FAO' or 'ATTN' for this trade address.",BBIE,Trade_ Address. Attention Of. Text,January 2017
788,2,Attribute,,Trade_ Address,Care Of,Text,,0..1,"The name, expressed as text, of a person or organization at this trade address to whom incoming mail is marked with words such as 'care of' or 'C/O'.",BBIE,Trade_ Address. Care Of. Text,January 2017
789,2,Attribute,,Trade_ Address,Building Number,Text,,0..1,"The building number, expressed as text, in this trade address.",BBIE,Trade_ Address. Building Number. Text,January 2017
790,2,Attribute,,Trade_ Address,Department Name,Text,,0..1,"The name, expressed as text, of a department for this trade address.",BBIE,Trade_ Address. Department Name. Text,January 2017
791,2,Attribute,,Trade_ Address,Additional_ Street Name,Text,,0..1,"The additional name of a street, expressed as text, for this trade address.",BBIE,Trade_ Address. Additional_ Street Name. Text,January 2017
792,1,Class,,Trade_ Allowance Charge,,,,,"A component of pricing, such as an allowance or charge for trade purposes.",ABIE,Trade_ Allowance Charge. Details,January 2017
793,2,Attribute,,Trade_ Allowance Charge,Charge,Indicator,,0..1,The indication of whether or not the trade allowance charge is a charge.,BBIE,Trade_ Allowance Charge. Charge. Indicator,January 2017
794,2,Attribute,,Trade_ Allowance Charge,Identification,Identifier,,0..1,The unique identifier for this trade allowance charge.,BBIE,Trade_ Allowance Charge. Identification. Identifier,January 2017
795,2,Attribute,,Trade_ Allowance Charge,Sequence,Numeric,,0..1,The sequence number for applying this trade allowance charge.,BBIE,Trade_ Allowance Charge. Sequence. Numeric,January 2017
796,2,Attribute,,Trade_ Allowance Charge,Calculation,Percent,,0..1,The percentage applied to calculate this trade allowance charge.,BBIE,Trade_ Allowance Charge. Calculation. Percent,January 2017
797,2,Attribute,,Trade_ Allowance Charge,Basis,Amount,,0..1,The monetary value that is the basis on which this trade allowance charge is calculated.,BBIE,Trade_ Allowance Charge. Basis. Amount,January 2017
798,2,Attribute,,Trade_ Allowance Charge,Basis,Quantity,,0..1,The quantity on which this trade allowance charge is based.,BBIE,Trade_ Allowance Charge. Basis. Quantity,January 2017
799,2,Attribute,,Trade_ Allowance Charge,Prepaid,Indicator,,0..1,The indication of whether or not this trade allowance charge is prepaid.,BBIE,Trade_ Allowance Charge. Prepaid. Indicator,January 2017
800,2,Attribute,,Trade_ Allowance Charge,Actual,Amount,,0..n,An actual monetary value of the trade allowance charge.,BBIE,Trade_ Allowance Charge. Actual. Amount,January 2017
801,2,Attribute,,Trade_ Allowance Charge,Unit_ Basis,Amount,,0..1,The monetary value of the unit basis on which the allowance or charge is calculated.,BBIE,Trade_ Allowance Charge. Unit_ Basis. Amount,January 2017
802,2,Attribute,,Trade_ Allowance Charge,Reason,Code,,0..1,The code specifying the reason for this trade allowance charge.,BBIE,Trade_ Allowance Charge. Reason. Code,January 2017
803,2,Attribute,,Trade_ Allowance Charge,Reason,Text,,0..1,"The reason, expressed as text, for this trade allowance charge.",BBIE,Trade_ Allowance Charge. Reason. Text,January 2017
804,2,Attribute,,Trade_ Allowance Charge,Type,Code,,0..1,The code specifying the type of this trade allowance charge.,BBIE,Trade_ Allowance Charge. Type. Code,January 2017
805,2,Composition,,Trade_ Allowance Charge,Category,,Trade_ Tax,0..n,A tax category of this trade allowance charge.,ASBIE,Trade_ Allowance Charge. Category. Trade_ Tax,January 2017
806,2,Composition,,Trade_ Allowance Charge,Actual,,Trade_ Currency Exchange,0..1,The actual trade currency exchange for this trade allowance charge.,ASBIE,Trade_ Allowance Charge. Actual. Trade_ Currency Exchange,January 2017
807,1,Class,,Trade_ Contact,,,,,A person or a department that acts as a point of contact with another person or department in a trading relationship.,ABIE,Trade_ Contact. Details,January 2017
808,2,Attribute,,Trade_ Contact,Identification,Identifier,,0..1,The unique identifier for this trade contact.,BBIE,Trade_ Contact. Identification. Identifier,January 2017
809,2,Attribute,,Trade_ Contact,Person Name,Text,,0..1,"The name, expressed as text, of this trade contact person.",BBIE,Trade_ Contact. Person Name. Text,January 2017
810,2,Attribute,,Trade_ Contact,Department Name,Text,,0..1,"The name, expressed as text, of the department to which this trade contact belongs within an organization.",BBIE,Trade_ Contact. Department Name. Text,January 2017
811,2,Attribute,,Trade_ Contact,Type,Code,,0..1,The code specifying the type of trade contact.,BBIE,Trade_ Contact. Type. Code,January 2017
812,2,Attribute,,Trade_ Contact,Job Title,Text,,0..1,"The job title, position or designation, expressed as text, of this trade contact within an organization, such as Director, Software Engineer, Purchasing Manager.",BBIE,Trade_ Contact. Job Title. Text,January 2017
813,2,Attribute,,Trade_ Contact,Responsibility,Text,,0..1,"A responsibility, expressed as text, of this trade contact.",BBIE,Trade_ Contact. Responsibility. Text,January 2017
814,2,Attribute,,Trade_ Contact,Person_ Identification,Identifier,,0..n,A unique identifier for this trade contact person.,BBIE,Trade_ Contact. Person_ Identification. Identifier,January 2017
815,2,Composition,,Trade_ Contact,Telephone,,Universal_ Communication,0..1,Telephone communication information for this trade contact.,ASBIE,Trade_ Contact. Telephone. Universal_ Communication,January 2017
816,2,Composition,,Trade_ Contact,Direct_ Telephone,,Universal_ Communication,0..1,The direct telephone communication information for this trade contact.,ASBIE,Trade_ Contact. Direct_ Telephone. Universal_ Communication,January 2017
817,2,Composition,,Trade_ Contact,Mobile_ Telephone,,Universal_ Communication,0..1,The mobile telephone communication information for this trade contact.,ASBIE,Trade_ Contact. Mobile_ Telephone. Universal_ Communication,January 2017
818,2,Composition,,Trade_ Contact,Fax,,Universal_ Communication,0..1,Fax communication information for this trade contact.,ASBIE,Trade_ Contact. Fax. Universal_ Communication,January 2017
819,2,Composition,,Trade_ Contact,Email_ URI,,Universal_ Communication,0..1,The email URI communication information for this trade contact.,ASBIE,Trade_ Contact. Email_ URI. Universal_ Communication,January 2017
820,2,Composition,,Trade_ Contact,Telex,,Universal_ Communication,0..1,Telegraphy (Telex) communication information for this trade contact.,ASBIE,Trade_ Contact. Telex. Universal_ Communication,January 2017
821,2,Composition,,Trade_ Contact,VOIP,,Universal_ Communication,0..1,Voice Over Internet Protocol (VOIP) communication information for this trade contact.,ASBIE,Trade_ Contact. VOIP. Universal_ Communication,January 2017
822,2,Composition,,Trade_ Contact,Instant Messaging,,Universal_ Communication,0..1,Instant messaging communication information for this trade contact.,ASBIE,Trade_ Contact. Instant Messaging. Universal_ Communication,January 2017
823,2,Composition,,Trade_ Contact,Specified,,Note,0..n,A note specified for this trade contact.,ASBIE,Trade_ Contact. Specified. Note,January 2017
824,2,Composition,,Trade_ Contact,Specified,,Contact_ Person,0..1,The contact person specified for this trade contact.,ASBIE,Trade_ Contact. Specified. Contact_ Person,January 2017
825,1,Class,,Trade_ Country Sub-Division,,,,,A political or physical area or region within the political boundaries of a country used or referenced for trade purposes.,ABIE,Trade_ Country Sub-Division. Details,January 2017
826,2,Attribute,,Trade_ Country Sub-Division,Identification,Identifier,,0..1,The unique identifier for this trade country sub-division.,BBIE,Trade_ Country Sub-Division. Identification. Identifier,January 2017
827,2,Attribute,,Trade_ Country Sub-Division,Name,Text,,0..n,"A name, expressed as text, of this trade country sub- division.",BBIE,Trade_ Country Sub-Division. Name. Text,January 2017
828,1,Class,,Trade_ Country,,,,,"The area of land that belongs to a nation together with its properties, such as population, political organization, etc., used or referenced for trade purposes.",ABIE,Trade_ Country. Details,January 2017
829,2,Attribute,,Trade_ Country,Identification,Identifier,,0..1,A unique identifier for this trade country.,BBIE,Trade_ Country. Identification. Identifier,January 2017
830,2,Attribute,,Trade_ Country,Name,Text,,0..n,"A name, expressed as text, of this trade country.",BBIE,Trade_ Country. Name. Text,January 2017
831,2,Composition,,Trade_ Country,Subordinate,,Trade_ Country Sub-Division,0..n,"A trade country sub-division that is subordinate to this trade country, such as a state, a county, a canton, a province.",ASBIE,Trade_ Country. Subordinate. Trade_ Country Sub-Division,January 2017
832,1,Class,,Trade_ Currency Exchange,,,,,The conversion of one currency to another for trade purposes.,ABIE,Trade_ Currency Exchange. Details,January 2017
833,2,Attribute,,Trade_ Currency Exchange,Source Currency,Code,,1..1,The code specifying the source currency of a trade related currency conversion.,BBIE,Trade_ Currency Exchange. Source Currency. Code,January 2017
834,2,Attribute,,Trade_ Currency Exchange,Source Unit Basis,Numeric,,0..1,The numeric unit basis of the source currency used in this trade related currency exchange rate calculation.,BBIE,Trade_ Currency Exchange. Source Unit Basis. Numeric,January 2017
835,2,Attribute,,Trade_ Currency Exchange,Target Currency,Code,,1..1,The code specifying the target currency of a trade related currency conversion.,BBIE,Trade_ Currency Exchange. Target Currency. Code,January 2017
836,2,Attribute,,Trade_ Currency Exchange,Target Unit Base,Numeric,,0..1,The numeric unit basis of the target currency used in this trade related currency exchange rate calculation.,BBIE,Trade_ Currency Exchange. Target Unit Base. Numeric,January 2017
837,2,Attribute,,Trade_ Currency Exchange,Market,Identifier,,0..1,The unique identifier of the currency exchange market from which the exchange rate is taken for trade purposes.,BBIE,Trade_ Currency Exchange. Market. Identifier,January 2017
838,2,Attribute,,Trade_ Currency Exchange,Conversion,Rate,,1..1,The rate factor used for conversion from the source currency to the target currency for trade purposes.,BBIE,Trade_ Currency Exchange. Conversion. Rate,January 2017
839,2,Attribute,,Trade_ Currency Exchange,Conversion Rate,Date Time,,0..1,"The date, time, date time or other date time value of the conversion rate for this trade related currency exchange.",BBIE,Trade_ Currency Exchange. Conversion Rate. Date Time,January 2017
840,2,Composition,,Trade_ Currency Exchange,Associated,,Referenced_ Document,0..1,An associated document referenced for this trade related currency exchange.,ASBIE,Trade_ Currency Exchange. Associated. Referenced_ Document,January 2017
841,1,Class,,Trade_ Delivery Terms,,,,,Conditions agreed upon between the parties with regard to the delivery of goods and or services for trade purposes.,ABIE,Trade_ Delivery Terms. Details,January 2017
842,2,Attribute,,Trade_ Delivery Terms,Delivery Type,Code,,0..1,The code specifying the type of delivery for these trade delivery terms.,BBIE,Trade_ Delivery Terms. Delivery Type. Code,January 2017
843,2,Attribute,,Trade_ Delivery Terms,Description,Text,,0..n,A textual description of these trade delivery terms.,BBIE,Trade_ Delivery Terms. Description. Text,January 2017
844,2,Composition,,Trade_ Delivery Terms,Relevant,,Trade_ Location,0..1,The trade location relevant for these trade delivery terms.,ASBIE,Trade_ Delivery Terms. Relevant. Trade_ Location,January 2017
845,1,Class,,Trade_ Location,,,,,A physical location or place used or referenced for trade purposes.,ABIE,Trade_ Location. Details,January 2017
846,2,Attribute,,Trade_ Location,Country,Identifier,,0..1,The unique identifier of a country location used or referenced in trade.,BBIE,Trade_ Location. Country. Identifier,January 2017
847,2,Attribute,,Trade_ Location,Country Name,Text,,0..1,"The name, expressed as text, of a country location used or referenced in trade.",BBIE,Trade_ Location. Country Name. Text,January 2017
848,2,Attribute,,Trade_ Location,Identification,Identifier,,0..1,The unique identifier for this location used or referenced in trade.,BBIE,Trade_ Location. Identification. Identifier,January 2017
849,2,Attribute,,Trade_ Location,Name,Text,,0..1,"The name, expressed as text, of this location used or referenced in trade.",BBIE,Trade_ Location. Name. Text,January 2017
850,1,Class,,Trade_ Party,,,,,"An individual, a group, or a body having a role in a trade business function.",ABIE,Trade_ Party. Details,January 2017
851,2,Attribute,,Trade_ Party,Identification,Identifier,,0..n,A unique identifier of this trade party.,BBIE,Trade_ Party. Identification. Identifier,January 2017
852,2,Attribute,,Trade_ Party,Global_ Identification,Identifier,,0..n,A globally unique identifier of this trade party.,BBIE,Trade_ Party. Global_ Identification. Identifier,January 2017
853,2,Attribute,,Trade_ Party,Name,Text,,0..1,"The name, expressed as text, for this trade party.",BBIE,Trade_ Party. Name. Text,January 2017
854,2,Attribute,,Trade_ Party,Role,Code,,0..n,A code specifying the role of this trade party.,BBIE,Trade_ Party. Role. Code,January 2017
855,2,Attribute,,Trade_ Party,Description,Text,,0..n,A textual description of this trade party.,BBIE,Trade_ Party. Description. Text,January 2017
856,2,Composition,,Trade_ Party,Specified,,Legal_ Organization,0..1,The legally constituted organization specified for this trade party.,ASBIE,Trade_ Party. Specified. Legal_ Organization,January 2017
857,2,Composition,,Trade_ Party,Defined,,Trade_ Contact,0..n,A trade contact defined for this trade party.,ASBIE,Trade_ Party. Defined. Trade_ Contact,January 2017
858,2,Composition,,Trade_ Party,Postal,,Trade_ Address,0..1,The postal address for this trade party.,ASBIE,Trade_ Party. Postal. Trade_ Address,January 2017
859,2,Composition,,Trade_ Party,URI,,Universal_ Communication,0..n,"A Uniform Resource Identifier (URI) communication for this trade party, such as a web or email address.",ASBIE,Trade_ Party. URI. Universal_ Communication,January 2017
860,2,Composition,,Trade_ Party,Specified,,Tax_ Registration,0..n,A tax registration specified for this trade party.,ASBIE,Trade_ Party. Specified. Tax_ Registration,January 2017
861,2,Composition,,Trade_ Party,End Point_ URI,,Universal_ Communication,0..1,The communication address of the end point URI for this trade party.,ASBIE,Trade_ Party. End Point_ URI. Universal_ Communication,January 2017
862,2,Composition,,Trade_ Party,Logo_ Associated,,Specified_ Binary File,0..n,A file containing a specified binary representation of a logo associated with this trade party.,ASBIE,Trade_ Party. Logo_ Associated. Specified_ Binary File,January 2017
863,1,Class,,Trade_ Payment Discount Terms,,,,,Trade terms and conditions by which a discount is or can be applied to a payable amount.,ABIE,Trade_ Payment Discount Terms. Details,January 2017
864,2,Attribute,,Trade_ Payment Discount Terms,Basis,Date Time,,0..1,"The date, time, date time, or other date time value used as the basis to calculate the discount in the trade payment discount terms.",BBIE,Trade_ Payment Discount Terms. Basis. Date Time,January 2017
865,2,Attribute,,Trade_ Payment Discount Terms,Basis Period,Measure,,0..1,The measure of the basis period for these trade payment discount terms.,BBIE,Trade_ Payment Discount Terms. Basis Period. Measure,January 2017
866,2,Attribute,,Trade_ Payment Discount Terms,Basis,Amount,,0..1,A monetary value used as a basis to calculate the discount in these trade payment discount terms.,BBIE,Trade_ Payment Discount Terms. Basis. Amount,January 2017
867,2,Attribute,,Trade_ Payment Discount Terms,Calculation,Percent,,0..1,The percent used to calculate the discount in these trade payment discount terms.,BBIE,Trade_ Payment Discount Terms. Calculation. Percent,January 2017
868,2,Attribute,,Trade_ Payment Discount Terms,Actual Discount,Amount,,0..1,A monetary value of the actual discount in these trade payment discount terms.,BBIE,Trade_ Payment Discount Terms. Actual Discount. Amount,January 2017
869,1,Class,,Trade_ Payment Penalty Terms,,,,,Trade terms and conditions by which a penalty is or can be applied to a payable amount.,ABIE,Trade_ Payment Penalty Terms. Details,January 2017
870,2,Attribute,,Trade_ Payment Penalty Terms,Basis,Date Time,,0..1,"The date, time, date time, or other date time value used as the basis to calculate these trade payment penalty terms.",BBIE,Trade_ Payment Penalty Terms. Basis. Date Time,January 2017
871,2,Attribute,,Trade_ Payment Penalty Terms,Basis Period,Measure,,0..1,The measure of the period used as a basis to calculate these trade payment penalty terms.,BBIE,Trade_ Payment Penalty Terms. Basis Period. Measure,January 2017
872,2,Attribute,,Trade_ Payment Penalty Terms,Basis,Amount,,0..1,A monetary value used as a basis to calculate these trade payment penalty terms.,BBIE,Trade_ Payment Penalty Terms. Basis. Amount,January 2017
873,2,Attribute,,Trade_ Payment Penalty Terms,Calculation,Percent,,0..1,The percent applied to calculate these trade payment penalty terms.,BBIE,Trade_ Payment Penalty Terms. Calculation. Percent,January 2017
874,2,Attribute,,Trade_ Payment Penalty Terms,Actual Penalty,Amount,,0..1,A monetary value of the actual penalty in these trade payment penalty terms.,BBIE,Trade_ Payment Penalty Terms. Actual Penalty. Amount,January 2017
875,1,Class,,Trade_ Payment Terms,,,,,Terms and conditions by which payment has been or will be made for trade purposes.,ABIE,Trade_ Payment Terms. Details,January 2017
876,2,Attribute,,Trade_ Payment Terms,Identification,Identifier,,0..1,The unique identifier of these trade payment terms.,BBIE,Trade_ Payment Terms. Identification. Identifier,January 2017
877,2,Attribute,,Trade_ Payment Terms,From Event,Code,,0..1,The code specifying the event from which these trade payment terms are offered for a length of time.,BBIE,Trade_ Payment Terms. From Event. Code,January 2017
878,2,Attribute,,Trade_ Payment Terms,Settlement Period,Measure,,0..1,"The measure of the number of settlement periods from this trade payment term time reference to the latest payment date, such as 30 days, 3 months.",BBIE,Trade_ Payment Terms. Settlement Period. Measure,January 2017
879,2,Attribute,,Trade_ Payment Terms,Description,Text,,0..n,A textual description of these trade payment terms.,BBIE,Trade_ Payment Terms. Description. Text,January 2017
880,2,Attribute,,Trade_ Payment Terms,Due Date,Date Time,,0..1,"The date, time, date time, or other date time value for a due date specified by these trade payment terms.",BBIE,Trade_ Payment Terms. Due Date. Date Time,January 2017
881,2,Attribute,,Trade_ Payment Terms,Type,Code,,0..1,A code specifying the type of trade payment terms.,BBIE,Trade_ Payment Terms. Type. Code,January 2017
882,2,Attribute,,Trade_ Payment Terms,Instruction_ Type,Code,,0..1,A code specifying a type of instruction for these trade payment terms.,BBIE,Trade_ Payment Terms. Instruction_ Type. Code,January 2017
883,2,Attribute,,Trade_ Payment Terms,Direct Debit Mandate_ Identification,Identifier,,0..n,An identifier of a direct debit mandate in these trade payment terms.,BBIE,Trade_ Payment Terms. Direct Debit Mandate_ Identification. Identifier,January 2017
884,2,Attribute,,Trade_ Payment Terms,Partial Payment,Percent,,0..1,"A partial payment, expressed as a percent, in these trade payment terms.",BBIE,Trade_ Payment Terms. Partial Payment. Percent,January 2017
885,2,Attribute,,Trade_ Payment Terms,Payment Means_ Identification,Identifier,,0..n,An identifier of a payment means in these trade payment terms.,BBIE,Trade_ Payment Terms. Payment Means_ Identification. Identifier,January 2017
886,2,Attribute,,Trade_ Payment Terms,Partial Payment,Amount,,0..n,A monetary value of a partial payment in these trade payment terms.,BBIE,Trade_ Payment Terms. Partial Payment. Amount,January 2017
887,2,Composition,,Trade_ Payment Terms,Applicable,,Trade_ Payment Penalty Terms,0..1,Trade payment penalty terms applicable to these trade payment terms.,ASBIE,Trade_ Payment Terms. Applicable. Trade_ Payment Penalty Terms,January 2017
888,2,Composition,,Trade_ Payment Terms,Applicable,,Trade_ Payment Discount Terms,0..1,Trade payment discount terms applicable to these trade payment terms.,ASBIE,Trade_ Payment Terms. Applicable. Trade_ Payment Discount Terms,January 2017
889,2,Composition,,Trade_ Payment Terms,Payee,,Trade_ Party,0..n,A payee party in these trade payment terms.,ASBIE,Trade_ Payment Terms. Payee. Trade_ Party,January 2017
890,1,Class,,Trade_ Price,,,,,A sum of money for which something is or may be bought or sold for trade purposes.,ABIE,Trade_ Price. Details,January 2017
891,2,Attribute,,Trade_ Price,Type,Code,,0..1,The code specifying the type of trade price.,BBIE,Trade_ Price. Type. Code,January 2017
892,2,Attribute,,Trade_ Price,Charge,Amount,,1..n,A monetary value of the trade price charge.,BBIE,Trade_ Price. Charge. Amount,January 2017
893,2,Attribute,,Trade_ Price,Basis,Quantity,,0..1,The quantity on which the trade price is based.,BBIE,Trade_ Price. Basis. Quantity,January 2017
894,2,Attribute,,Trade_ Price,Minimum,Quantity,,0..1,The minimum quantity in a range for which this trade price applies.,BBIE,Trade_ Price. Minimum. Quantity,January 2017
895,2,Attribute,,Trade_ Price,Maximum,Quantity,,0..1,The maximum quantity in a range for which the trade price applies.,BBIE,Trade_ Price. Maximum. Quantity,January 2017
896,2,Attribute,,Trade_ Price,Change Reason,Text,,0..n,"A reason, expressed as text, for a change of this trade price.",BBIE,Trade_ Price. Change Reason. Text,January 2017
897,2,Attribute,,Trade_ Price,Order_ Unit Conversion Factor,Numeric,,0..1,The value used as the factor to convert the order unit into the price unit for this trade price.,BBIE,Trade_ Price. Order_ Unit Conversion Factor. Numeric,January 2017
898,2,Composition,,Trade_ Price,Applied,,Trade_ Allowance Charge,0..n,An allowance or charge applied to the trade price.,ASBIE,Trade_ Price. Applied. Trade_ Allowance Charge,January 2017
899,2,Composition,,Trade_ Price,Validity,,Specified_ Period,0..1,A specified period for which this trade price is valid.,ASBIE,Trade_ Price. Validity. Specified_ Period,January 2017
900,2,Composition,,Trade_ Price,Delivery,,Trade_ Location,0..n,A delivery location for this trade price.,ASBIE,Trade_ Price. Delivery. Trade_ Location,January 2017
901,2,Composition,,Trade_ Price,Trade_ Comparison,,Reference_ Price,0..n,A price that provides a trade comparison with this trade price.,ASBIE,Trade_ Price. Trade_ Comparison. Reference_ Price,January 2017
902,2,Composition,,Trade_ Price,Associated,,Referenced_ Document,0..n,An associated document referenced for this trade price.,ASBIE,Trade_ Price. Associated. Referenced_ Document,January 2017
903,1,Class,,Trade_ Product Instance,,,,,An individual trade product or batch of similar trade products produced by human or mechanical effort or by a natural process.,ABIE,Trade_ Product Instance. Details,January 2017
904,2,Attribute,,Trade_ Product Instance,Global Serial_ Identification,Identifier,,0..1,The unique global serial identifier for this trade product instance.,BBIE,Trade_ Product Instance. Global Serial_ Identification. Identifier,January 2017
905,2,Attribute,,Trade_ Product Instance,Batch_ Identification,Identifier,,0..1,The unique batch identifier for this trade product instance.,BBIE,Trade_ Product Instance. Batch_ Identification. Identifier,January 2017
906,2,Attribute,,Trade_ Product Instance,Kanban_ Identification,Identifier,,0..1,The unique kanban identifier for this trade product instance.,BBIE,Trade_ Product Instance. Kanban_ Identification. Identifier,January 2017
907,2,Attribute,,Trade_ Product Instance,Supplier Assigned Serial_ Identification,Identifier,,0..1,The unique supplier assigned serial identifier for this trade product instance.,BBIE,Trade_ Product Instance. Supplier Assigned Serial_ Identification. Identifier,January 2017
908,2,Attribute,,Trade_ Product Instance,Best Before,Date Time,,0..1,"The date, time, date time, or other date time value before which it is best to consume the items contained in this trade product instance.",BBIE,Trade_ Product Instance. Best Before. Date Time,January 2017
909,2,Attribute,,Trade_ Product Instance,Expiry,Date Time,,0..1,"The date, time, date time, or other date time value of expiry of the items contained in the trade product instance.",BBIE,Trade_ Product Instance. Expiry. Date Time,January 2017
910,2,Attribute,,Trade_ Product Instance,Sell By,Date Time,,0..1,"The date, time, date time, or other date time value by after which the items contained in the trade product instance should not be sold.",BBIE,Trade_ Product Instance. Sell By. Date Time,January 2017
911,2,Attribute,,Trade_ Product Instance,Serial_ Identification,Identifier,,0..n,A unique serial identifier for this trade product instance.,BBIE,Trade_ Product Instance. Serial_ Identification. Identifier,January 2017
912,2,Attribute,,Trade_ Product Instance,Registration_ Identification,Identifier,,0..n,"A unique registration identifier, such as a vehicle licence plate identification, for this trade product instance.",BBIE,Trade_ Product Instance. Registration_ Identification. Identifier,January 2017
913,2,Composition,,Trade_ Product Instance,Production,,Supply Chain_ Event,0..1,The production event for this trade product instance.,ASBIE,Trade_ Product Instance. Production. Supply Chain_ Event,January 2017
914,2,Composition,,Trade_ Product Instance,Packaging,,Supply Chain_ Event,0..1,The packaging event for this trade product instance.,ASBIE,Trade_ Product Instance. Packaging. Supply Chain_ Event,January 2017
915,2,Composition,,Trade_ Product Instance,Applicable,,Material_ Goods Characteristic,0..n,A distinguishing material feature applicable to this trade product instance.,ASBIE,Trade_ Product Instance. Applicable. Material_ Goods Characteristic,January 2017
916,2,Composition,,Trade_ Product Instance,Applicable,,Product_ Characteristic,0..n,A product characteristic applicable to this trade product instance.,ASBIE,Trade_ Product Instance. Applicable. Product_ Characteristic,January 2017
917,1,Class,,Trade_ Product,,,,,Any tangible output or service produced by human or mechanical effort or by a natural process for trade purposes.,ABIE,Trade_ Product. Details,January 2017
918,2,Attribute,,Trade_ Product,Identification,Identifier,,0..1,A unique identifier for this trade product.,BBIE,Trade_ Product. Identification. Identifier,January 2017
