UNID,short_name,short_name_ja,definition,definition_ja
UN01005757,ID,ID,A unique identifier of this CI trade party.,インボイスの取引事業者の固有識別子。
UN01005758,Global ID,グローバルID,A globally unique identifier of this CI trade party.,インボイスの取引事業者のグローバルに一意の識別子。
UN01005759,Name,名前,"The name, expressed as text, for this CI trade party.",インボイスの取引事業者の名称（テキストで表現）。
UN01006744,Role Code,役割コード,A code specifying the role of this CI trade party.,インボイスの取引事業者の役割を特定するコード。
UN01011453,Description,説明,A textual description of this CI trade party.,インボイスの取引事業者のテキストによる説明。
UN01013039,Registered ID,登録ID,The registered identifier of this CI trade party.,インボイスの取引事業者の登録識別子。
UN01012924,DUNS ID,DUNS ID,The Data Universal Numbering System (DUNS) identifier of this CI trade party.,インボイスの取引事業者のデータユニバーサルナンバリングシステム（DUNS）識別子。
UN01012925,Type Code,タイプコード,A code specifying the type of CI trade party.,インボイスの取引事業者のタイプを指定するコード。
UN01005760,Legal Organization,法的組織,The legally constituted organization specified for this CI trade party.,インボイスの取引事業者に指定された法的に構成された組織。
UN01005761,Defined Contact,定義された連絡先,A trade contact defined for this CI trade party.,インボイスの取引事業者に定義された取引連絡先。
UN01005762,Postal Address,郵便番号,The postal address for this CI trade party.,インボイスの取引事業者の住所。
UN01005763,URI,URI,"A Uniform Resource Identifier (URI) communication for this CI trade party, such as a web or email address.",インボイスの取引事業者の統一リソース識別子（URI）通信（Web アドレスや電子メールアドレスなど）。
UN01005764,Tax Registration,税務登録,A tax registration specified for this CI trade party.,インボイスの取引事業者に指定された税務登録情報。
UN01005765,End Point URI,エンドポイントURI,The communication address of the end point URI for this CI trade party.,インボイスの取引事業者のエンドポイント URI の通信アドレス。
UN01006691,Logo Binary File,ロゴバイナリファイル,A file containing a specified binary representation of a logo associated with this CI trade party.,インボイスの取引先に関連付けられたロゴの指定されたバイナリ表現を含むファイル。
UN01012706,Specified Logistics Location,指定物流拠点,The logistics related location specified for this CI trade party.,インボイスの取引事業者に指定された物流関連場所。
UN01005779,CI Payment Terms,CI支払条件,Conditions by which payment has been or will be made for Cross Industry (CI) trade purposes.,取引目的で支払いが行われた、または行われる条件。
UN01005780,ID,ID,The unique identifier of these CI trade payment terms.,インボイスの取引支払条件の一意の識別子。
UN01005781,From Event Code,イベントコードから,The code specifying the event from which these CI trade payment terms apply.,インボイスの取引支払条件が適用されるイベントを特定するコード。
UN01005782,Settlement Period Measure,決済期間措置,The measure of the settlement period for these CI trade payment terms.,インボイスの取引支払条件における決済期間の測定単位。
UN01005783,Description,説明,A textual description of these CI trade payment terms.,インボイスの取引支払条件のテキストによる説明。
UN01005784,Due Date Time,期日時刻,"The date, time, date time, or other date time value of the due date specified by these CI trade payment terms.",インボイスの取引支払条件によって指定された支払期日の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005785,Deprecated Instruction Type Code,非推奨の命令タイプコード,The code specifying the type of instruction for these CI trade payment terms.,インボイスの取引支払条件における指示の種類を特定するコード。
UN01005786,Payment Means ID,支払い手段ID,An identifier of the payment means in these CI trade payment terms.,インボイスの取引支払条件における支払手段の識別子。
UN01005787,Partial Payment Percent,部分支払い率,"The partial payment, expressed as a percentage, in these CI trade payment terms.",インボイスの取引支払条件における部分支払額（パーセンテージで表示）。
UN01006049,Direct Debit Mandate ID,口座振替委任ID,An identifier of a direct debit mandate in these CI trade payment terms.,インボイスの取引支払条件における口座引落指示の識別子。
UN01008502,Type Code,タイプコード,The code specifying the type of these CI trade payment terms.,インボイスの取引支払条件のタイプを指定するコード。
UN01009059,Partial Payment Amount,一部支払金額,A monetary value of a partial payment in these CI trade payment terms.,インボイスの取引支払条件における部分支払いの金額。
UN01014673,Bill Start Date Time,請求開始日時,"The date, time, date time, or other date time value of the bill start specified by these CI trade payment terms.",インボイスの取引支払条件で指定される請求開始の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01015539,Instructed Amount,指示金額,The monetary value that has been instructed to be transferred between debtor and creditor for these CI trade payment terms.,インボイスの取引支払条件において、債務者と債権者間で振り込むよう指示された金額。
UN01005788,Payment Penalty Terms,支払いペナルティ条件,Trade payment penalty terms applicable to these CI trade payment terms.,インボイスの取引支払条件に適用される取引支払遅延金条件。
UN01005789,Payment Discount Terms,支払い割引条件,Trade payment discount terms applicable to these CI trade payment terms.,インボイスの取引支払条件に適用される取引支払割引条件。
UN01009060,Payee,受取人,A payee party in these CI trade payment terms.,インボイスの取引支払条件における支払先事業者。
UN01005790,CI Trade Price,CI取引価格,A sum of money for which something is or may be bought or sold for Cross Industry (CI) trade purposes.,取引で何かが購入または売却される、あるいは購入または売却される可能性のある金額。
UN01005791,Type Code,タイプコード,The code specifying the type of CI trade price.,インボイスの取引価格の種類を特定するコード。
UN01005792,Charge Amount,請求金額,A monetary value of this CI trade price charge.,インボイスの取引価格の課金対象となる金額。
UN01005793,Basis Quantity,基準数量,The quantity on which this CI trade price is based.,インボイスの取引価格の算定基準となる数量。
UN01005794,Order Unit Conversion Factor Numeric,注文単位変換係数数値,The value used as the factor to convert the order unit into the price unit for this CI trade price.,インボイスの取引価格において、注文単位を価格単位に変換するための係数として使用される値。
UN01007157,Change Reason Text,変更理由テキスト,"A reason, expressed as text, for a change of this CI trade price.",インボイスの取引価格の変更理由（テキストで表現）。
UN01007158,Minimum Quantity,最小数量,The minimum quantity in a range for which this CI trade price applies.,インボイスの取引価格が適用される範囲内の最小数量。
UN01007159,Maximum Quantity,最大数量,The maximum quantity in a range for which this CI trade price applies.,インボイスの取引価格が適用される範囲内の最大数量。
UN01013364,Type Text,テキストを入力,"A type, expressed as text, for this CI trade price.",インボイスの取引価格のタイプ（テキストで表現）。
UN01014674,Basis Date Time,基準日時,"The date, time, date time, or other date time value used as the basis for this CI trade price.",インボイスの取引価格の基準となる日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005795,Applied Allowance/Charge,適用控除/手数料,An allowance or charge applied to this CI trade price.,インボイスの取引価格に適用される割増料金または割引料金。
UN01005796,Validity Period,有効期間,The specified period for which this CI trade price is valid.,インボイスの取引価格が有効な指定期間。
UN01005797,Referenced Document,参照文書,A document referenced for this CI trade price.,インボイスの取引価格に参照される文書。
UN01007162,Delivery Location,配送場所,A delivery location for this CI trade price.,インボイスの取引価格の配送場所。
UN01007163,Comparison Price,比較価格,A price that provides a comparison with this CI trade price.,インボイスの取引価格との比較を提供する価格。
UN01005809,CI Trade Product,CI取引製品,Any tangible output or service produced by human or mechanical effort or by a natural process for Cross Industry (CI) trade purposes.,取引目的のために、人的・機械的努力または自然プロセスによって生産される有形の産出物またはサービス。
UN01005810,ID,ID,The unique identifier for this CI trade product.,インボイスの取引製品の一意の識別子。
UN01005811,Global ID,グローバルID,The unique global identifier for this CI trade product.,インボイスの取引製品の一意のグローバル識別子。
UN01005812,Seller Assigned ID,売り手が割り当てたID,The unique seller assigned identifier for this CI trade product.,インボイスの取引製品に対して売り手が割り当てた固有識別子。
UN01005813,Buyer Assigned ID,買い手割り当てID,The unique buyer assigned identifier for this CI trade product.,インボイスの取引製品に対して買い手が割り当てた固有識別子。
UN01005814,Manufacturer Assigned ID,メーカー割り当てID,The unique manufacturer assigned identifier for this CI trade product.,インボイスの取引製品に対して製造者が割り当てた固有識別子。
UN01005815,Name,名前,"A name, expressed as text, for this CI trade product.",インボイスの取引製品の名称（テキストで表現）。
UN01005816,Trade Name,商号,"The trade name, expressed as text, for this CI trade product.",インボイスの取引製品の商号（テキストで表現）。
UN01005817,Description,説明,A textual description for this CI trade product.,インボイスの取引製品のテキストによる説明。
UN01005818,Type Code,タイプコード,The code specifying the type of CI trade product.,インボイスの取引製品のタイプを特定するコード。
UN01005819,Net Weight,正味重量,The measure of the net weight (mass) of this CI trade product.,インボイスの取引製品の正味重量（質量）の単位。
UN01005820,Gross Weight,総重量,The measure of the gross weight (mass) of this CI trade product.,インボイスの取引製品の総重量（質量）の測定値。
UN01007167,Drained Net Weight,排水後の正味重量,The measure of the drained net weight (mass) of this CI trade product.,インボイスの取引製品の脱水後の正味重量（質量）の単位。
UN01007168,Brand Name,ブランド名,"The brand name, expressed as text, for this CI trade product.",インボイスの取引製品のブランド名（テキスト表記）。
UN01007169,Sub-Brand Name,サブブランド名,"The sub-brand name, expressed as text, for this CI trade product.",インボイスの取引製品のサブブランド名（テキスト表記）。
UN01008524,Product Group ID,製品グループID,A unique identifier for a product group for this CI trade product.,インボイスの取引製品の製品グループ固有識別子。
UN01008525,Area Density Measure,面密度測定,"The measure of the area density, such as paper density in grams per square metre (gsm), of this CI trade product.",インボイスの取引製品の面積密度（例：平方メートルあたりのグラム数（gsm）による紙密度）の測定値。
UN01008526,Colour Code,カラーコード,The code specifying the colour for this CI trade product.,インボイスの取引製品の色を指定するコード。
UN01008527,Colour Description,色の説明,A textual description of the colour of this CI trade product.,インボイスの取引製品の色に関するテキストによる説明。
UN01008528,Use Description,使用説明,A textual description of a use of this CI trade product.,インボイスの取引製品の使用方法に関するテキストによる説明。
UN01008529,Designation Text,指定テキスト,"A designation, expressed as text, for this CI trade product.",インボイスの取引製品の名称（テキスト表記）。
UN01008530,End Item Name,最終品目名,"An end item name, expressed as text, for this CI trade product.",インボイスの取引製品の最終品目名をテキストで表したもの。
UN01008531,Latest Product Data Change Date Time,最新の製品データ変更日時,"The date, time, date time, or other date time value of the latest change in the product data for this CI trade product.",インボイスの取引製品の製品データにおける最新の変更日時、日付時刻、またはその他の日付時刻値。
UN01008532,End Item Type Code,最終製品タイプコード,A code specifying a type of end item for this CI trade product.,インボイスの取引製品の最終品目の種類を特定するコード。
UN01008533,Variable Measure Indicator,変数測定インジケーター,"The indication of whether or not instances of this CI trade product have a variable measure, such as weight, length or volume.",インボイスの取引製品のインスタンスに重量、長さ、体積などの可変測定値があるかどうかの表示。
UN01012942,Additional Description,追加説明,An additional textual description for this CI trade product.,インボイスの取引製品に関する追加のテキスト記述。
UN01012943,Batch ID,バッチID,A batch identifier for this CI trade product.,インボイスの取引製品のバッチ識別子。
UN01012944,Common Name,通称,"A common name, expressed as text, for this CI trade product.",インボイスの取引製品の一般的な名称（テキストで表現）。
UN01012945,Concise Description,簡潔な説明,An concise textual description for this CI trade product.,インボイスの取引製品の簡潔なテキストによる説明。
UN01012946,Configurable Indicator,設定可能なインジケーター,The indication of whether or not this CI trade product is configurable.,インボイスの取引製品が構成可能であるかどうかの表示。
UN01012947,Content Unit Quantity,内容量 単位 数量,The number of content units of this CI trade product.,インボイスの取引製品のコンテンツ単位数。
UN01012948,Customer Assigned ID,顧客割り当てID,A customer assigned identifier of this CI trade product.,インボイスの取引製品の顧客割り当て識別子。
UN01012949,Gross Volume Measure,総容積測定,A measure of gross volume of this CI trade product.,インボイスの取引製品の総容積の測定値。
UN01012950,Industry Assigned ID,業界割り当てID,An industry assigned identifier for this CI trade product.,インボイスの取引製品に対する業界割り当て識別子。
UN01012951,Model ID,モデルID,A model identifier for this CI trade product.,インボイスの取引製品のモデル識別子。
UN01012952,Net Volume Measure,正味体積測定,A measure of a net volume for this CI trade product.,インボイスの取引製品の正味量の測定値。
UN01012953,Recycling Type Code,リサイクル種別コード,The code specifying the type of recycling for this CI trade product.,インボイスの取引製品のリサイクルタイプを指定するコード。
UN01012954,Status Code,ステータスコード,A code specifying a status for this CI trade product.,インボイスの取引製品のステータスを指定するコード。
UN01012955,Unit Type Code,ユニットタイプコード,A code specifying a type of unit for this CI trade product.,インボイスの取引製品の単位タイプを指定するコード。
UN01013366,Export Indicator,輸出指標,The indication of whether or not this CI trade product is for export.,インボイスの取引製品が輸出用であるかどうかの表示。
UN01015538,Classification Code,分類コード,The code specifying the classification for this CI trade product.,インボイスの取引製品の分類を指定するコード。
UN01005821,Characteristic,特性,A product characteristic applicable to this CI trade product.,インボイスの取引製品に適用される製品特性。
UN01005822,Material Goods Characteristic,物質的商品特性,A material goods characteristic applicable to this CI trade product.,インボイスの取引製品に適用される有形財の特性。
UN01005823,Classification,分類,A product classification designated for this CI trade product.,インボイスの取引製品に指定された製品分類。
UN01005824,Individual Product Instance,個々の製品インスタンス,An individual instance of this Cross Industry (CI) trade product.,インボイス取引製品の個別インスタンス。
UN01005825,Certification Evidence Document,認定証明書類,A Cross Industry (CI) certification evidence document reference for this CI trade product.,インボイスの取引製品に対するインボイスの認証証拠文書の参照。
UN01005826,Inspection Document,検査書類,A Cross Industry (CI) inspection document referenced from this CI trade product.,インボイスの取引製品から参照されるインボイスの検査文書。
UN01005827,Origin Country,原産国,The country of origin for this Cross Industry (CI) trade product.,インボイス取引製品の原産国。
UN01005828,Dimensions,寸法,Linear spatial dimensions of this Cross Industry (CI) trade product.,インボイス取引製品の直線的な空間寸法。
UN01005829,Minimum Dimensions,最小寸法,Minimum linear spatial dimensions of this Cross Industry (CI) trade product.,インボイス取引製品の最小直線空間寸法。
UN01005830,Maximum Dimensions,最大寸法,Maximum linear spatial dimensions of this Cross Industry (CI) trade product.,インボイス取引製品の最大直線空間寸法。
UN01005831,Manufacturer,メーカー,The party who is the manufacturer of this Cross Industry (CI) trade product.,インボイス取引製品の製造者。
UN01007171,MSDS Document,MSDS文書,The Material Safety Data Sheet (MSDS) document referenced for this CI trade product.,インボイスの取引製品に参照される物質安全データシート（MSDS）文書。
UN01007172,Additional Document,追加文書,"An additional referenced document for this CI trade product, such as a manual or a certificate.",インボイスの取引製品に関する追加参照文書（マニュアルや証明書など）。
UN01007173,Information Note,情報メモ,An information note for this CI trade product.,インボイスの取引製品に関する情報ノート。
UN01008534,Brand Owner,ブランドオーナー,The party that owns the brand of this CI trade product.,インボイスの取引製品のブランドを所有する事業者。
UN01008535,Legal Rights Owner,法的権利所有者,The party that owns the legal rights for this CI trade product.,インボイスの取引製品の法的権利を所有する事業者。
UN01008536,Presentation Binary File,プレゼンテーションバイナリファイル,A binary file presentation specified for this CI trade product.,インボイスの取引製品に指定されたバイナリファイル形式。
UN01012674,Buyer Supplied Parts Reference Document,買い手支給部品参照文書,A buyer supplied parts document reference for this CI trade product.,インボイスの取引製品に関する購入者提供部品文書参照。
UN01005799,Global Serial ID,グローバルシリアルID,The unique global serial identifier for this CI trade product instance.,インボイスの取引製品インスタンスの固有のグローバルシリアル識別子。
UN01005800,Batch ID,バッチID,The unique batch identifier for this CI trade product instance.,インボイスの取引製品インスタンスの一意のバッチ識別子。
UN01005801,Kanban ID,カンバンID,The unique kanban identifier for this CI trade product instance.,インボイスの取引製品インスタンスの一意なカンバン識別子。
UN01005802,Supplier Assigned Serial ID,サプライヤーが割り当てたシリアルID,The unique supplier assigned serial identifier for this CI trade product instance.,インボイスの取引製品インスタンスに対してサプライヤーが割り当てた一意のシリアル識別子。
UN01005803,Best Before Date Time,賞味期限,"The date, time, date time, or other date time value before which it is best to consume this CI trade product instance.",インボイスの取引製品インスタンスを消費するのに最適な期限となる日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005804,Expiry Date Time,有効期限,"The date, time, date time, or other date time value of expiry of this CI trade product instance.",インボイスの取引製品インスタンスの有効期限となる日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005805,Sell By Date Time,販売期限日時,"The date, time, date time, or other date time value after which this CI trade product instance should not be sold.",インボイスの取引製品インスタンスが販売されるべきでない日付、時刻、日付時刻、またはその他の日付時刻値。
UN01006745,Serial ID,シリアルID,A serial identifier for this CI trade product instance.,インボイスの取引製品インスタンスのシリアル識別子。
UN01007164,Registration ID,登録ID,"A registration identifier, such as a vehicle licence plate identification, for this CI trade product instance.",インボイスの取引製品インスタンスの登録識別子（例：車両ナンバープレート識別番号）。
UN01005806,Product Characteristic,製品特性,A product characteristic for this CI trade product instance.,インボイスの取引製品インスタンスの製品特性。
UN01005807,Production Event,制作イベント,The production event for this CI trade product instance.,インボイスの取引製品インスタンスの生産イベント。
UN01005808,Packaging Event,パッケージングイベント,The packaging event for this CI trade product instance.,インボイスの取引製品インスタンスの包装イベント。
UN01007165,Material Goods Characteristic,物質的商品特性,A material characteristic applicable to this CI trade product instance.,インボイスの取引製品インスタンスに適用される材料特性。
UN01005832,CI Trade Tax,CI取引税,"A Cross Industry (CI) trade related fiscal tax, duty or levy.",取引に関連する財政税、関税、または賦課金。
UN01005833,Calculated Amount,計算金額,"A monetary value resulting from the calculation of this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税の計算結果として得られる金額。
UN01005834,Type Code,タイプコード,"The code specifying the type of CI trade related tax, levy or duty, such as a code for a Value Added Tax (VAT).",付加価値税（VAT）などの、インボイスの取引関連の税、課徴金、関税の種類を指定するコード。
UN01005835,Exemption Reason Text,免除理由テキスト,"The reason, expressed as text, for exemption from this CI trade related tax, levy or duty.",インボイスの取引関連税・賦課金・関税の免除理由（テキスト表記）。
UN01005836,Calculated Rate,計算レート,"The rate used to calculate the amount of this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税の金額を計算するために使用される税率。
UN01005837,Calculation Sequence Number,計算シーケンス番号,"The numeric expression of the sequence in which this CI trade related tax is to be or has been applied when multiple taxes are applicable per calculation, such as first ""Value Added Tax (VAT)"", second ""Transfer"".",計算ごとに複数の税が適用される場合、インボイスの取引関連税が適用される順序または適用された順序の数値表現。例：最初に「付加価値税（VAT）」、次に「移転税」。
UN01005838,Basis Quantity,基準数量,"The quantity used as the basis for calculating the amount of this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税の金額計算の基礎となる数量。
UN01005839,Basis Amount,基準額,"A monetary value used as the basis on which this CI trade related tax, levy or duty is calculated.",インボイスの取引関連税、課徴金または関税の計算の基礎となる金額。
UN01005840,Unit Basis Amount,単位基準額,"A monetary value that constitutes the per unit basis on which this CI trade related tax, levy or duty is calculated.",インボイスの取引関連税、賦課金または関税の計算における単位当たりの基準となる金額。
UN01005841,Category Code,カテゴリーコード,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",インボイスの取引関連税、課徴金、または関税が適用されるカテゴリーを指定するコード。「免税」、「標準税率」、「免税輸出品 - 課税対象外」などのコード。
UN01005842,Currency Code,通貨コード,"The code specifying the currency for this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税の通貨を指定するコード。
UN01005843,Jurisdiction Text,管轄テキスト,"A jurisdiction, expressed as text, to which this CI trade related tax, levy or duty applies.",インボイスの取引関連税、賦課金または関税が適用される管轄区域（テキストで表現）。
UN01005844,Customs Duty Indicator,関税指標,"The indication of whether or not this CI trade related tax, levy or duty is a customs duty.",インボイスの取引関連税、賦課金または関税が関税であるかどうかの表示。
UN01005845,Exemption Reason Code,免除理由コード,"The code specifying a reason for exemption from this CI trade related tax, levy or duty.",インボイスの取引関連税、課徴金、または関税が免除される理由を指定するコード。
UN01005846,Basis Allowance Rate,基礎控除率,"The rate of the tax basis allowance (deduction or discount) used to calculate the CI trade related tax, levy or duty.",インボイスの取引関連税、課徴金または関税の計算に使用される税額控除（控除または割引）の率。
UN01005847,Deprecated Tax Point Date,廃止された課税ポイント日付,"The date of the tax point when this CI trade related tax, levy or duty becomes applicable.",インボイスの取引関連税、賦課金または関税が適用される課税時点の日付。
UN01005848,Type Text,テキストを入力,"The type, expressed as text, of this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税の種類（テキストで表示）。
UN01005849,Information Amount,情報量,"A monetary value being reported for information for this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税について情報提供のために報告される金額。
UN01005850,Category Name,カテゴリ名,"A category name, expressed as text, of this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税のカテゴリー名（テキストで表現）。
UN01006052,Due Date Type Code,期日タイプコード,The code specifying a type of due date for this CI trade tax.,インボイスの取引税の支払期日の種類を特定するコード。
UN01007174,Applicable Rate Percent,適用レートパーセント,"The applicable rate of CI trade tax, expressed as a percentage.",インボイスの取引税に適用される税率（パーセンテージで表示）。
UN01013040,Grand Total Amount,合計金額,The monetary value of the grand total of the basis plus tax for this CI trade tax.,インボイスの取引税の課税標準額と税額の合計金額。
UN01013096,Tax Calculation Method Code,税計算方法コード,"The code specifying the method by which this CI trade related tax, levy or duty is calculated, such as codes for ""tax calculated after line total summation"", ""tax calculated before line total summation"", ""tax back calculated based on grand total"".",インボイスの取引関連税、課徴金、または関税の計算方法を指定するコード（「行合計後の税額計算」、「行合計前の税額計算」、「総計に基づく税額逆算」などのコード）。
UN01014650,Local Tax System ID,地方税システムID,The identifier of the local tax system for this CI trade tax.,インボイスの取引税における地域税体系を識別する識別子
UN01005851,Accounting Account,会計アカウント,"A specified accounting account for this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税に指定された会計勘定科目。
UN01005852,Buyer Deductible Tax Accounting Account,買い手控除税会計アカウント,"The buyer deductible tax specified accounting account for this CI trade related tax, levy or duty.",インボイスの取引関連税、賦課金または関税の買い手控除可能税指定会計勘定。
UN01005853,Buyer Non-Deductible Tax Accounting Account,買い手の非控除税会計アカウント,"The buyer non-deductible tax specified accounting account for this CI trade related tax, levy or duty.",インボイスの取引関連税、課徴金、または関税に関する、買い手控除不可税の指定会計勘定。
UN01005854,Buyer Repayable Tax Accounting Account,買主未払税会計アカウント,"The buyer repayable tax specified accounting account for this CI trade related tax, levy or duty.",インボイスの取引に関連する税金、課徴金、または関税について、買い手が返済すべき税金の指定会計勘定。
UN01005855,Seller Payable Tax Accounting Account,売り手未払税金会計勘定,"The seller payable tax specified accounting account for this CI trade related tax, levy or duty.",インボイスの取引に関連する税金、課徴金、または関税について、売り手が支払うべき税金の指定会計勘定。
UN01005856,Seller Refundable Tax Accounting Account,売り手還付税会計アカウント,"The seller refundable tax specified accounting account for this CI trade related tax, levy or duty.",インボイスの取引関連税、課徴金または関税に対する売手の還付可能税指定会計勘定。
UN01006064,Service Supply Country,サービス供給国,The country where a service was supplied for this CI trade tax.,インボイスの取引税の対象となるサービスが提供された国。
UN01007175,Applicable Location,適用場所,A location where this CI trade tax is applicable.,インボイスの取引税が適用される場所。
UN01005857,CI Communication,CIコミュニケーション,The exchange of messages or information for Cross Industry (CI) purposes.,インボイス目的のためのメッセージまたは情報の交換。
UN01005858,URI,URI,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。
UN01005859,Channel Code,チャネルコード,"The code specifying the channel or manner in which a CI universal communication can be made, such as telephone or email.",インボイスのユニバーサルコミュニケーションを行うチャネルまたは方法を指定するコード（例：電話または電子メール）。
UN01005860,Complete Number,完全な番号,The text string of characters that make up the complete number for this CI universal communication.,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。
UN01000371,Procuring Project,調達プロジェクト,"An endeavour carefully planned to achieve a procurement of goods, works and service.",物品、工事、サービスの調達を達成するために慎重に計画された取り組み。
UN01000372,ID,ID,The unique identifier of this procuring project.,調達プロジェクトの固有識別子。
UN01000373,Description,説明,The textual description of this procuring project.,調達プロジェクトのテキストによる説明。
UN01000374,Name,名前,"The name, expressed as text, of this procuring project.",調達プロジェクトの名称（テキスト表記）。
UN01000375,Works Type Code,作品種別コード,"A code specifying the type of work, such as surveying or consulting, for this procuring project.",調達プロジェクトにおける測量やコンサルティングなどの作業の種類を特定するコード。
UN01000376,Sub-Works Type Code,サブワークスタイプコード,"A code specifying the type of sub works, such as land surveying or information technology consulting, for this procuring project.",調達プロジェクトにおける下請工事の種類（例：土地測量、情報技術コンサルティング）を特定するコード。
UN01000377,Type Code,タイプコード,"The code specifying the type of procuring project, such as goods, works and service.",調達プロジェクトの種類（物品、工事、サービスなど）を特定するコード。
UN01000378,Constraint Indicator,制約インジケーター,The indication of whether or not the project is constrained by an authority such as the World Trade Organization (WTO) for this procuring project.,調達プロジェクトが、世界貿易機関（WTO）などの機関による制約を受けるかどうかの表示。
UN01000379,Total Budget Amount,総予算額,"The monetary value of the total budget which includes net amount, taxes, and material and instalment costs for this procuring project.",本調達プロジェクトの総予算額（純額、税金、資材費、分割払い費用を含む）。
UN01000380,Net Budget Amount,純予算額,The monetary value of the net budget for this procuring project.,当該調達プロジェクトの純予算の金額。
UN01000381,Project Actualization Location,プロジェクト実現場所,The physical actualization location of this procuring project.,本調達プロジェクトの物理的実施場所。
UN01000382,Tendering Planned Period,入札予定期間,The planned period for performing this procuring project in the tendering process.,入札プロセスにおける本調達プロジェクトの計画実施期間。
UN01011486,Inspection Event,検査イベント,The inspection event specified for this procuring project.,本調達プロジェクトに指定された検査イベント。
UN01011489,Project Plan Period,プロジェクト計画期間,A planned period for this procuring project.,本調達プロジェクトの計画期間。
UN01006014,Binary File,バイナリファイル,A specified computer file or program stored in a binary format.,バイナリ形式で保存された特定のコンピュータファイルまたはプログラム。
UN01006015,ID,ID,A unique identifier for this specified binary file.,指定されたバイナリファイルの一意の識別子。
UN01006016,Title,タイトル,"A title, expressed as text, for this specified binary file.",指定されたバイナリファイルの、テキストで表現されたタイトル。
UN01006017,Author Name,著者名,"A name of an author, expressed as text, of this specified binary file.",指定されたバイナリファイルの作者名（テキストで表現）。
UN01006018,Version ID,バージョンID,The unique version identifier for this specified binary file.,指定されたバイナリファイルの一意のバージョン識別子。
UN01006019,Name,名前,"The file name, expressed as text, of this specified binary file.",指定されたバイナリファイルのファイル名（テキストで表現）。
UN01006020,URI,URI,The unique Uniform Resource Identifier (URI) for this specified binary file.,指定されたバイナリファイルの一意のURI（Uniform Resource Identifier）。
UN01006021,MIME Code,MIMEコード,The code specifying the Multipurpose Internet Mail Extensions (MIME) type for this specified binary file.,指定されたバイナリファイルの多目的インターネットメール拡張（MIME）タイプを指定するコード。
UN01006022,Encoding Code,エンコードコード,The code specifying the encoding of this specified binary file.,指定されたバイナリファイルのエンコーディングを指定するコード。
UN01006023,Character Set Code,文字セットコード,The code specifying the character set for this specified binary file.,指定されたバイナリファイルの文字セットを指定するコード。
UN01006024,Included Binary Object,含まれるバイナリオブジェクト,A binary object included in this specified binary file.,指定されたバイナリファイルに含まれるバイナリオブジェクト。
UN01006025,Access Text,アクセステキスト,"Access information, expressed as text, for this specified binary file, such as security and download parameters.",指定されたバイナリファイルに関するアクセス情報（テキスト形式で表現）。セキュリティやダウンロードパラメータなど。
UN01006026,Description,説明,A textual description of this specified binary file.,指定されたバイナリファイルのテキストによる説明。
UN01006027,Size,サイズ,The measure of the size of this specified binary file.,指定されたバイナリファイルのサイズを測定する値。
UN01006028,Access Availability Period,アクセス利用可能期間,The specified period when access to this binary file is available.,バイナリファイルへのアクセスが可能な指定期間。
UN01004493,Trade Settlement Financial Card,取引決済金融カード,A card used to represent a financial account for a trade settlement.,取引決済用の金融口座を表すために使用されるカード。
UN01004494,Microchip Indicator,マイクロチップインジケーター,The indication of whether or not this trade settlement financial card has a microchip.,取引決済金融カードにマイクロチップが搭載されているかどうかの表示。
UN01004495,ID,ID,"The unique identifier, commonly known as the card number, of this trade settlement financial card.",取引決済金融カードの一意の識別子（一般にカード番号として知られる）。
UN01004496,Type Code,タイプコード,"The code specifying the type of this trade settlement financial card, such as debit or credit.",取引決済金融カードのタイプ（デビットカードやクレジットカードなど）を指定するコード。
UN01004497,Cardholder Name,クレジットカード名義人氏名,The cardholder name as it appears on this trade settlement financial card. This may include both an individual authorized to use the card as well as the organization that owns the card.,取引決済金融カードに記載されているカード名義人名。カードの使用を許可された個人と、カードを所有する組織の両方が含まれる場合があります。
UN01004498,Expiry Date,有効期限,The date of expiry up to which this trade settlement financial card is valid.,取引決済金融カードが有効である期限。
UN01004499,Verification Number,確認番号,The unique card verification number for security purposes to help verify the card user is in actual possession of this trade settlement financial card.,セキュリティ目的で、カード利用者が実際に取引決済金融カードを所持していることを確認するための固有のカード検証番号。
