sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,attribute,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AH,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,,,
242,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,（明細文書ヘッダ参照）文書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,0..1,,v4.1,,,, ,,,●,●,●,●,※,,,,,,,,,,,,,,,,,,,,,,,,,
243,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）文書履歴ID,この明細文書ヘッダの参照文書の変更履歴を管理するID。,0..1,,v4.1,,,, ,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
244,ヘッダ部,UN01006415,BBIE,,,,,,,,CI_ Referenced_ Document. Information. Text,,,,,,,（明細文書ヘッダ参照）文書説明,この明細文書ヘッダの参照文書の説明,0..1,,v4.1,,,, ,,,＊,＊,＊,＊,,★,,IBT-123,?  Supporting document description,0..1,,,,,,,,,,,,,,,,,,,,
245,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,,,（明細文書ヘッダ参照）文書タイプコード,この明細文書ヘッダの参照文書の文書タイプを識別するコード,0..1,,v4.1,UNCL1001,,UN/CEFACT, ,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
246,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,（明細文書ヘッダ参照）文書サブタイプコード,この明細文書ヘッダの参照文書の文書サブタイプを識別するコード,0..1,,v4.1,JECxxxx,,JEC, ,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
247,ヘッダ部,UN01006079,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,,,,,,,,,明細文書ヘッダ決済／会計アカウントグループ,この明細文書ヘッダの会計アカウントに関するグループ,0..1,,v4.1,  ,,  ,,,,▽,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
248,ヘッダ部,UN01005680,ABIE,,,,,,,CI_ Trade_ Accounting Account. Details,,,,,,,,会計アカウントクラス,会計アカウントに関するクラス,－,,v4.1,  ,,  ,,,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
249,ヘッダ部,UN01005681,BBIE,,,,,,,,CI_ Trade_ Accounting Account. Identification. Identifier,,,,,,,明細文書ヘッダ会計アカウントID,明細文書ヘッダ会計アカウントのID,1..1,,v4.3,,,,,,,▽,▽,▽,▽,※,★,,IBT-019,Buyer accounting reference,0..1,,,,,,,,,,,,,,,,,,,,
250,ヘッダ部,UN01005683,BBIE,,,,,,,,CI_ Trade_ Accounting Account. Type. Code,,,,,,,明細文書ヘッダ会計アカウントタイプコード,明細文書ヘッダ会計アカウントのタイプコード,0..1,,v4.1,,,,,,,▽,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
251,ヘッダ部,UN01005685,BBIE,,,,,,,,CI_ Trade_ Accounting Account. Name. Text,,,,,,,明細文書ヘッダ会計アカウント名,明細文書ヘッダ会計アカウントの名称,0..1,,v4.1,  ,,  ,,,,▽,▽,▽,▽,,,,,,,,,,,,,,,,,,,,,,,,,,
252,明細部,UN01009669,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Subordinate. CIILB_ Subordinate_ Trade Line Item,,,,,,,,,,,明細文書ヘッダ／明細行グループ,明細文書ヘッダの明細行に関するグループ。,1..n,,v1, ,, ,,,,○,○,○,○,,☆,,IBG-25,INVOICE LINE,1..n,,,,,,,,,,,,,,,,,,,,
253,明細部,UN01009647,ABIE,,,,,CIILB_ Subordinate_ Trade Line Item. Details,,,,,,,,,,明細行クラス,明細行に関する情報からなるクラス, -,,v1, ,, ,,,,　,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
254,明細部,UN01009648,BBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Identification. Identifier,,,,,,,,,明細行ID,この文書の明細行に関する情報を特定するために付与した行ID。明細行をユニークに識別するために付番する場合は文書IDとの複合キーで明細行を特定する。,1..1,,v1, ,, ,,,,△,△,△,△,,☆,1,IBT-126,?  Invoice line identifier,1..1,,,,,,,,,,,,,,,,,,,,
255,明細部,UN01014637,BBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Category. Code,,,,,,,,,明細行類型コード,"この明細行の取引類型（資産譲渡、返金、追加請求、調整等）を識別するコード。
デフォルトは「資産譲渡」",0..1,,v4,JECxxxx,,JEC,"
コード値
選択入力
",,,●,●,●,●,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
256,明細部,UN01015533,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,,,,,,,,,明細行／注釈グループ,明細行の注釈に関するグループ,0..n,,v4.2,,,　,,,,＊,＊,＊,＊,,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
257,明細部,UN01005557,ABIE,,,,,,,CI_ Note. Details,,,,,,,,明細行注釈クラス,明細行の注釈を記述するクラス, -,,v4.1, ,, ,,,,, , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
258,明細部,UN01005558,BBIE,,,,,,,,CI_ Note. Subject. Text,,,,,,,明細行注釈表題,"明細行の注釈内容の表題を示す。
一部に利用制限あり。標準仕様書３．３．５項参照",0..1,,v4.1,,,, , ,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
259,明細部,UN01005560,BBIE,,,,,,,,CI_ Note. Content. Text,,,,,,,明細行注釈内容,"明細行の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",0..1,,v4.1,,,,,,,＊,＊,＊,＊,,★,,IBT-127,?  Invoice line note,0..1,,,,,,,,,,,,,,,,,,,,
260,明細部,UN01005562,BBIE,,,,,,,,CI_ Note. Identification. Identifier,,,,,,,明細行注釈ID,"明細行注釈の識別ID
共通EDIプロバイダがシリアル番号をセット。標準仕様書３．３．５項参照",0..1,,v4.1, ,, , , ,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
261,明細部,UN01009649,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Agreement,,,,,,,,,明細行／取引契約グループ,明細行の取引契約に関するグループ,1..1,,v1, ,, ,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
262,明細部,UN01009653,ABIE,,,,,,,CIILB_ Supply Chain_ Trade Agreement. Details,,,,,,,,取引契約クラス,取引契約に関する情報からなるクラス,－,,v1, ,, ,,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
263,明細部,UN01009656,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,,,,,,,明細行契約／明細行参照文書グループ,取引契約と明細行参照文書に関するグループ,0..1,,v4, ,, ,,,,●,●,●,●,,★,,IBG-36,?  LINE DOCUMENT REFERENCE,0..1,,,,,,,,,,,,,,,,,,,,
264,明細部,UN01005579,ABIE,,,,,,,,,CI_ Referenced_ Document. Details,,,,,,（明細行参照）文書クラス,明細行の参照文書クラス,－,,v4, ,, ,,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
265,明細部,UN01005580,BBIE,,,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（明細行参照）文書ID,この明細行が参照する文書に記載の文書ID。,1..1,,v4, ,, ,,,,●,●,●,●,※,★,,IBT-188,? ?  Invoice line document identifier,1..1,,,,,,,,,,,,,,,,,,,,
266,明細部,UN01005581,BBIE,,,,,,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,（明細行参照）文書URL_ID,この明細行が参照する文書が所在するURL_ID,0..1,,v4.3, ,, ,  ,,,＊,＊,＊,＊,（※）,,,,,,,,,,,,,,,,,,,,,,,,,
267,明細部,UN01005582,BBIE,,,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,（明細行参照）文書発行日,この明細行が参照する文書に記載の発行日付,0..1,,v4.3,,,, ,,,●,●,●,●,※,,,,,,,,,,,,,,,,,,,,,,,,,
268,明細部,UN01005585,BBIE,,,,,,,,,,CI_ Referenced_ Document. Line. Identifier,,,,,（明細行参照）文書明細行ID,この明細行が参照する文書に記載の文書明細行ID。,1..1,,v4,,,,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
269,明細部,UN01005588,BBIE,,,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（明細行参照）文書履歴ID,この明細行が参照する文書の変更履歴を管理するID。,0..1,,v4,,,, ,,,▼,▼,▼,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
270,明細部,UN01005589,BBIE,,,,,,,,,,CI_ Referenced_ Document. Name. Text,,,,,（明細行参照）文書名,この明細行が参照する文書の名称,0..1,,v4.3,,,,  ,,,＊,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
271,明細部,UN01006415,BBIE,,,,,,,,,,CI_ Referenced_ Document. Information. Text,,,,,（明細行参照）文書情報,この明細行が参照する文書に記載の情報,0..n,,v4.3,,,,  ,,,＊,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
272,明細部,UN01009672,BBIE,,,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,（明細行参照）文書タイプコード,この明細行が参照する文書の文書タイプを識別するコード。,0..1,,v4,UNCL1001,,UN/CEFACT,"
コード値
選択入力
",,,＊,＊,＊,＊,,★,,IBT-189,? ?  Document type code,0..1,,,,,,,,,,,,,,,,,,,,
273,明細部,UN01009672,BBIE,,,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,（明細行参照）文書類型コード,この明細行が参照する文書の類型タイプを識別するコード。,0..1,,v4,JECxxxx,,JEC,"
コード値
選択入力
",,,＊,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
274,明細部,UN01014899,BBIE,,,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,（明細行参照）文書サブタイプコード,この明細行が参照する文書の文書サブタイプを識別するコード。,0..1,,v4,JECxxxx,,JEC,"
コード値
選択入力
",,,＊,＊,＊,＊,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
275,明細部,UN01009658,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,,,,,,,明細行契約／契約単価グループ,明細行の契約単価に関するグループ。,1..1,,v1, ,, ,,,,,○,○,○,,☆ ,,IBG-29,?  PRICE DETAILS,1..1,,,,,,,,,,,,,,,,,,,,
276,明細部,UN01005790,ABIE,,,,,,,,,CI_ Trade_ Price. Details,,,,,,契約単価クラス,明細行の契約単価に関する情報からなるクラス。,－,,v1, ,, ,,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
277,明細部,UN01005792,BBIE,,,,,,,,,,CI_ Trade_ Price. Charge. Amount,,,,,契約単価,"発注者と受注者が合意した明細発注品の単価。単価基準数量と単価基準数量単位の指定に従う。
税込み、税抜きの識別はヘッダ部の「UN01013096：税計算方式」で指定（指定がない場合（デフォルト）は税抜き）。",1..1,,v1/v3,,,,,,,,○,○,○,,☆,1,IBT-146,? ?  Item net price,1..1,,,,,,,,,,,,,,,,,,,,
278,明細部,UN01009650,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Delivery,,,,,,,,,明細行／配送グループ,明細行の配送に関するグループ,1..1,,v1, ,, ,,,,,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
279,明細部,UN01009659,ABIE,,,,,,,CIILB_ Supply Chain_ Trade Delivery. Details,,,,,,,,明細行納入クラス,明細行の納入に関する情報からなるクラス,-,,v1, ,, ,,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
280,明細部,UN01014639,BBIE,,,,,,,,CIILB_ Supply Chain_ Trade Delivery. Billed. Quantity,,,,,,,配送数量,"この情報項目は取引数量の指定に利用する。
この項目の属性として数量単位コードを指定することにより、ずべての品目の取引数量指定に利用できる。
流通業の定貫品目取引では、この項目は利用せず「セット数量」または「バラ数量」を利用する。",1..1,,v1,"数量単位コード
UNECERec20",,UNECE,"属性コード値
選択入力",,,,○,○,○,,☆,1,IBT-129,?  Invoiced quantity,1..1,,,,,,,,,,,,,,,,,,,,
281,明細部,UN01009651,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Settlement,,,,,,,,,明細行／決裁グループ,明細行の決済に関するグループ,1..1,,v1, ,, , ,,,＊,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
282,明細部,UN01009664,ABIE,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Details,,,,,,,,明細行決裁クラス,明細行の決済入に関する情報からなるクラス,-,,v1, ,, , ,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
283,明細部,UN01014641,BBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Direction. Code,,,,,,,明細行取引方向コード,"明細行の取引方向を識別するコード
デフォルトは「プラス」
明細行取引類型コードが「調整」を指定場合に利用する。
金額の「プラス」「マイナス」表示を許容する場合は実装しない。",0..1,,v４,JECxxxx,,JEC, ,,,＊,＊,＊,＊,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
284,明細部,UN01009665,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,明細行決済／明細行税グループ,明細行決済の税に関するグループ,1..1,,v1, ,, ,,,,＊,○,○,○,,☆,,IBG-30,?  LINE TAX INFORMATION,1..n,,,,,,,,,,,,,,,,,,,,
285,明細部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細行税クラス,明細行の税に関する情報に関するクラス,-,,v1, ,, ,,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
286,明細部,UN01005834,BBIE,,,,,,,,,,CI_ Trade_ Tax. Type. Code,,,,,明細行税タイプコード,税の種類を識別するコード。デフォルトは消費税；VAT,0..1,,v1/v2,UNCL5153,,UN/CEFACT,"コード値
選択入力",,,＊,＊,＊,＊,,★,,IBT-167,? ?  Tax Scheme,0..1,,,,,,,,,,,,,,,,,,,,
287,明細部,UN01005839,BBIE,,,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,明細行譲渡資産金額（税抜き）,"この明細行の税抜き譲渡資産金額（契約単価×配送数量）
契約単価×数量で指定できない場合は金額",0..1,,v2,,,,,,,＊,(○),(○),(○),※,☆,1,IBT-131,?  Invoice line net amount,1..1,,,,,,,,,,,,,,,,,,,,
288,明細部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細行課税分類コード,この明細行の消費税の課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード,1..1,,v1/v2,UNCL5305,,UN/CEFACT,"
コード値
選択入力
",,,＊,●,●,●,,★,1,IBT-151,? ?  Invoiced item TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
289,明細部,UN01005850,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category Name. Text,,,,,明細行課税分類名,消費税の計算属性(標準税率、軽減税率など)を識別するための分類名。または軽減税率対象品目に添付する※などの記号を表示,0..1,,v2,,,,,,,＊,◎,◎,◎,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
290,明細部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細行税率,"課税分類に対応する消費税率のパーセント表示
2014年度税制の場合は、明細行課税分類コードと組み合わせて利用する。",0..1,,v1/v2,,,,,,,＊,●,●,●,※,★,,IBT-152,? ?  Invoiced item TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
291,明細部,UN01013040,BBIE,,,,,,,,,,CI_ Trade_ Tax. Grand Total. Amount,,,,,明細行譲渡資産金額(税込み),この明細行の税額を含む譲渡資産金額（税込み）,0..1,,v2,,,,,,,＊,（□）,（□）,（□）,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
292,明細部,UN01014650,BBIE,,,,,,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,明細行適用税制ID,"この明細行取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,v4,JECxxxx,,JEC, ,,,＊,●,●,●,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,
293,明細部,UN01014643,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,明細行決済／調整（調整差額調整）グループ,明細行決済の調整（修正差額調整）に関するグループ,0..1,,v4.3, ,, , ,,,▼,,▼,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
294,明細部,UN01005487,ABIE,,,,,,,,,CI_ Financial_ Adjustment. Details,,,,,,明細行調整クラス,明細行の調整に関する情報からなるクラス,－,,v4.3, ,, , ,,,　,,　,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
295,明細部,UN01005488,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,明細行調整理由コード（修正差額調整）,"この明細行の調整理由を示す識別コード
'=62(修正差額調整)",0..1,,v4.3,UNCL4465,,UN/CEFACT,"属性コード値
固定入力",,,▼,,▼,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
296,明細部,UN01005489,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,明細行調整理由,この明細行の調整理由を文字で表現した内容,0..1,,v4.3,,,,,,,▼,,▼,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
297,明細部,UN01005490,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,明細行調整金額,"この明細行の調整金額
＜調整理由コード＝62＞
'=修正差額調整金額",0..1,,v4.3,,,, ,,,▼,,▼,,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
298,明細部,UN01014897,ASBIE,,,,,,,,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,,,,,明細行調整／調整税グループ,調整明細行の税率別税クラスに関するグループ,0..1,,v4.3, ,,    , ,,,▼,,▼,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
299,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行調整税クラス（修正差額調整）,調整明細行の税率別税クラス（修正差額調整）,－,,v4.3, ,,    , ,,, ,, ,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
300,明細部,UN01007174,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,明細行調整税率,調整明細行の税率,0..1,,v4.3, ,,    , ,,,▼,,▼,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
301,明細部,UN01005841,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,明細行調整課税分類コード,調整明細行の課税分類コード,0..1,,v4.3,UNCL5305,,UN/CEFACT,"コード値
選択入力",,,▼,,▼,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
302,明細部,UN01014643,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,明細行決済／調整グループ,明細行決済の調整に関するグループ,0..1,,v4.3, ,, , ,,,■,,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
303,明細部,UN01005487,ABIE,,,,,,,,,CI_ Financial_ Adjustment. Details,,,,,,明細行調整(源泉t所得税)クラス,明細行の調整（源泉所得税）に関する情報からなるクラス,－,,v4.3, ,, , ,,,　,,,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
304,明細部,UN01005488,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,明細行調整理由コード(源泉所得税),"この明細行の調整理由を示す識別コード
'=26(源泉所得税)",0..1,,v4.3,UNCL4465,,UN/CEFACT,"属性コード値
固定入力",,,■,,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
305,明細部,UN01005489,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,明細行調整理由,この明細行の調整理由を文字で表現した内容,0..1,,v4.3,,,, ,,,■,,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
306,明細部,UN01005490,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,明細行調整金額,"この明細行の調整金額（鑑ヘッダ調整金額で相殺処理）
＜調整理由コード＝26＞
'=源泉所得税",0..1,,v4.3,,,, ,,,■,,,■,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
307,明細部,UN01014897,ASBIE,,,,,,,,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,,,,,明細行調整／調整税グループ,調整明細行の税率別税クラスに関するグループ,0..1,,v4.3, ,,    , ,,,■,,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
308,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行調整税クラス（源泉書t久栖）,調整明細行の税率別税クラス（源泉所得税）,－,,v4.3, ,,    , ,,, ,,, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
309,明細部,UN01005834,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Type. Code,,,明細行調整税タイプコード,"税の種類を識別するコード
'=SWT(源泉所得税 )",0..1,,v4.3,UNCL5153,,UN/CEFACT,"コード値
固定入力",,,■,,,■,,,,,,,,,,,,,,,,,,,,,,,,,,
310,明細部,UN01007174,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,明細行調整税率,調整明細行の税率,0..1,,v4.3, ,,    , ,,,■,,,■,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
311,明細部,UN01014643,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,明細行決済／調整グループ,明細行決済の調整に関するグループ,0..n,,v4.3, ,, , ,,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
312,明細部,UN01005487,ABIE,,,,,,,,,CI_ Financial_ Adjustment. Details,,,,,,明細行調整クラス,明細行の調整に関する情報からなるクラス,－,,v4.3, ,, , ,,,,,,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
313,明細部,UN01005488,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,明細行調整理由コード,"この明細行の調整理由を示す識別コード
=30の場合（入金）",0..1,,v4.3,UNCL4465,,UN/CEFACT,"属性コード値
選択入力",,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
314,明細部,UN01005489,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,明細行調整理由,この明細行の調整理由を文字で表現した内容,0..1,,v4.3,,,, ,,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
315,明細部,UN01005490,BBIE,,,,,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,明細行調整金額,"この明細行の調整金額30の場合＞
'=入金",0..1,,v4.3,,,, ,,,＊,＊,＊,　,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
316,明細部,UN01014644,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,明細行決裁／返金グループ,明細行の返金に関するグループ,0..n,,v4, ,, , ,,,,＊,＊,　,,★ ,,IBG-27,?  INVOICE LINE ALLOWANCES,0..n,,,,,,,,,,,,,,,,,,,,
317,明細部,UN01005706,ABIE,,,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,明細行返金クラス,明細行返金のクラス,－,,v4, ,, , ,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
318,明細部,UN01005707,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,"明細行返金・追加請求判別子
    =返金（Allowance）","明細行返金・追加請求判別子
    =false (Allowance）",1..1,,v4,JECxxxx,,JEC,"判別子
固定入力",,,,●,●,　,, ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
319,明細部,UN01005713,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,明細行返金金額,明細行に紐付く返金金額,0..1,,v4,,,, ,,,,＊,＊,　,,★,,IBT-136,? ?  Invoice line allowance amount,1..1,,,,,,,,,,,,,,,,,,,,
320,明細部,UN01005714,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,明細行返金理由コード,明細行返金理由コード,0..1,,v4,UNCL5189,,UN/CEFACT, ,,,,＊,＊,　,,★,,IBT-140,? ?  Invoice line allowance reason code,0..1,,,,,,,,,,,,,,,,,,,,
321,明細部,UN01005715,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,明細行返金理由,明細行返金理由,0..1,,v4,,,, ,,,,＊,＊,　,,★,,IBT-139,? ?  Invoice line allowance reason,0..1,,,,,,,,,,,,,,,,,,,,
322,明細部,UN01005716,ASBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,明細行返金／明細行返金税グループ,明細行返金の税に関するグループ,0..n,,v4, ,, , ,,,,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
323,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行返金税クラス,明細行返金の税クラス,－,,v4, ,, , ,,,,＊,＊, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
324,明細部,UN01005841,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,明細行返金課税分類コード,明細行返金の課税分類コード,1..1,,v4,UNCL5305,,UN/CEFACT,"コード値
選択入力",,,,＊,＊,　,,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
325,明細部,UN01007174,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,明細行返金税率,明細行返金の税率,0..1,,v4, ,, , ,,,,＊,＊,　,,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
326,明細部,UN01014644,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,明細行決裁／追加請求グループ,明細行決裁／追加請求グループ,0..n,,v4.1,,,　, ,,,,＊,＊,　,,★ ,,IBG-28,?  INVOICE LINE CHARGES,0..n,,,,,,,,,,,,,,,,,,,,
327,明細部,UN01005706,ABIE,,,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,明細行追加請求クラス,明細行追加請求クラス,－,,v4.1,,,　, ,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
